id,source_count
114186845560407998358248103341180002290736573565677413408452852578210847290470,3891
101012014710359571346845331784429567405420418991827364827908661577838537118308,1140
99160217100637437909452820639817067135610716316457617975688968972667668850617,846
31060413215451819376807198352811413157750527303687932885026334331779146602028,629
95602816635708480788988800963866992414357236357386007088191498683504658810039,447
13972821944631323154247873126856177297348813082327576533572124451648879377153,441
87653031880284619397815786824362296873919228114635292754134044226400708872129,432
10191203523697024922318061494344044616158765107445877417301479638107775495554,431
7597368785571762351418189385295788562128969554901677492243341965336682233958,428
12306533423380763886081075067775682195098903070871665434876802009480661180070,413
48521807171788590873355995866833915675872867159464054970366229922502190085252,362
25439903088884650670672343047798953545063452462813442286757298586723272331813,306
77377871541381085995061546709380032680829394939666405161498209735190149398217,274
67750154640340793343731802634223065741681683840325248887327469573683027818216,220
102410344606543229717495254166599027643329457948464542717938069684381584134189,220
40582319891511976453419770081841797508544653743224135804679258086760980558543,202
1095139003134759425076892894019302345151051080639895308426530924580133893744,199
87539475162621945608595693602880957260526603003987033151920730174247455295842,166
21246340178575437136714012854154270637042168195833302873560925974943978218359,161
8133504885653743724821200234263147304183375882375076370101244733527701075414,159
46915222327845140392211249545078897796232104396995008642143336076911736953581,152
51264985423335907428273338086969067426363363795823885824312177572512540079688,144
67329554091317365623471272672684337026965125446847308666109754726984125069948,142
19125151111981187424884525653020038401191901077781359204605243446120691627985,130
6567867524464943762767690689273742815674510610725041341293311845028725659548,125
7293243230157874657311096345771729726674218293085838562989366000995261516556,119
104235273063276313712535303293561084329413474092974499550920123999674380206599,117
115528555577102219958953038590182293180490650469389737241543940901964099998695,115
34427181002181274526157170091280601246041551306546136975332969209505591371555,114
110086622117237667868005803171717049880909089883316800821301771741955162316684,114
20419613263705103771571624181957784095958123973856966186006458669948769524038,113
104934643399156969260271886022841864876420745687383274084897482880641581210118,109
38844868747889335200528299701299546183589623101433038327788019500731470674634,104
5180873796630110909766009025518537378098815064900074836883182737462141008567,91
112757042933628832099852172606406405513504793836284331444458105667451292866648,88
105487779287836101736968921590532252073654896238151167175135424283944561746616,88
28624644281985786095895361838369926726637796265718971990296190298245296733079,87
80885226530005677430542973657789353130421400922602159792262740367379022169596,86
85890040022433003377356727895140275719673138900212359973025545990035641480040,85
841544083176976909521024830487455388986756956112697246235477756812429028916,83
20485549329455334763769600591993415065288317357463644105115869622406584173861,80
22148271701202714340953005586695266951903641164570303027114263244400578313454,79
3215224486414555928388951061524629680939311273728985987979484525284026238226,76
30793836293991433818310833091968031133152311078658648192815852254130898904014,76
63148384200620956068673680521952825417696731740452144881100529459345414709832,75
114078604435425525448289157531607646207846215484898128579063245104822306655148,73
10982180605539241488884470012245697102865406216178023037862439721168536947867,71
13506241152826062860281417544279515341355476392516613389020723309562219528311,71
28700876840881897847359380287736033919259132002514261978954313741668085800320,70
107720401821464764681704991327219787525303126083376264429350203587128671972782,69
64801322397384825595474591539968263643494768961620782499891734174563331814559,68
69191766515534514367840669102485353843069199078966934797941162734591173070232,68
105697902053715144020677968431812093549675673249773253283426162816050925211032,67
77449549313379702506523678386000328519077571670517413814497893872625219251280,65
53875219822509045315323246521631693483748557109243996675570577933324666414511,65
113916461011746160084488605498284047044067262645746461491508952214286923836759,63
6789598005168514937818635789465827678333565764368794993536706457104903044164,61
111884934804878280729865760432442888947227984389225514926997245679461201588383,59
72402080377742573972286108841149989741534903907392126867838106266500196991493,58
36484444861490000735208181034635176518368514385332044489373897918881670299340,57
54024733904814088831025986266945854570437421715903394849268894795610547325672,54
52035317548572283247207793937676255640542994369519744828055290180119793784595,53
104200596961492903546333569858109306240470666701601219422082674816493293265986,53
68126180753181922894424904386835698531486563509065039542396934661672977785457,51
64223975281434607202380382302594895060347972244002538330847697937291309732841,50
69008186178144530747204662314798340568977999817100425421196162217807261929709,50
76514152008318219579555726674446820760875827075663477024171368071935333986498,50
35460899254469642855364689927000287215695897287327521362167385651986810573847,50
8401778865767778862345546035674463847125761194030645831320780875394625048234,48
79712068583664402482363011150563162627094407389810549577385851150563396691950,48
69967194680871782894536726672088463374823073871658434042622811526279614237162,46
7597946197534279233941048206532360521692691614827078877580711959252492320515,45
36661037771595602798951774544186044085876883435560459980967651638868873167621,44
63779972786104906017643418097471135038004449914005549824449543003959796704064,43
50238796371010928423765076280294563263689405159371827793939650233535696702609,43
58133219189204770376772038182179757781444265140992162388112799989014592044727,41
29235026602076854912610669104051257934201940285696125193821392013802038338474,41
20376762159871062050599811074413451700592437337315753932708960187757436774323,41
72119898450876802257353151355719753457998374912808544464397231057960600860160,41
36469306232975246339251019210138282243659670771621141053392882842364194080588,41
88588455265177682118053079868601565292912922122541786638791194866083714146703,41
39390819259734439745039440284142177275408826848172059933585961192000534427181,40
5271639352898040922441974844902251318152111822476514149122085890620212330821,40
51091066594406267265892174786474321939538844134915349903533902440075511237414,40
34539213796683306420011594866666358171805818112189676935104019755179714198738,40
24127947462380597745801015238132416817489633428683425762167939138859434138743,38
31344889910059775616640671608166300291330782922915215436929728205630581802537,37
31432538967691695023279851128069027925213548104783053007742783004841823196131,36
70668532688985838269484337346859048170720283888032776013151276771236625401389,35
105192918078310750712899954141518990179311410427185878872962619731188951835062,35
67755629882905114147047354327512030359561589230363447770514007374415428521103,34
30450250794816552670572388071143226637418425233228371839380925148709034581205,34
54839056133745167724804485212642929727608185643791559768947363777937894665436,34
79925357470012954297545186335425372060498696139243385410844111987579692098187,33
29947531475542044462542442833013085136284470503937938586035364862917784711509,33
48298695665849274428540710645171952624613011378713469017743889579644222315805,33
104764008011395235734875304860924171259472653911309527299432547032880386039171,32
30348703563914314786076757247733595166621369099756274721035177959283005392999,32
