id,source_count
22431065632154793136662852137081777024031675386194634690928339736366487648027,5261
31530611199488680169544744277140006079566376480367333491647481143848851476031,1168
44984707736541447680810630515311311484548906768243587074544900321994916045823,752
105310502269385210100764670561194594564150040208906603266855839246112588214258,741
25719258833291162773356612058995449886913745784739688942505155852422808156527,715
43555759888092717344097781114106698625107880611753202370306886005968760623243,544
98491985873626895658276159723401547669578825946020157072464095271834095647907,516
42739574641847091134454258174029461818805127843548375118251794988863312578916,374
104917760805689880787781962972274610542292766379344661431162465358630945972885,338
32783242283625216951499500861141280923710537519891626521279387219153755479048,335
91514430312460076028136107383811583033141008046202396783495906114694908722234,323
101339422055011391840998199452836626096778338763556962020324037687188393349327,295
50932502542012966609691075793333524329965514094095769259318887627974452598216,287
94102753811404742242034737254466012266609872025769284841140925768621914789029,276
10418584620863360672938899287298944322278321361671099657765362851620578198242,272
44577287159886610924148841586705624260127828818840991543991447173123833921751,269
10388291608695772623257876638438792781072826177208484320523999518413653694095,266
35066194039780096538974735857500330242022278085290368739842324237097727266172,265
99697975302340849820954987975855685367780533823233507287714481388661575502230,258
33739455898969767570616002154738251122200790021268340097856653940705985382334,238
37471651952871413234831072750174588934566143904740260046440465626583122575177,236
17046622362660268720962765886948065145994125459858436635024856359978799499767,229
97234619119113630447547185911026734809710599791293200557857429373015366989308,227
65943596422479714860443544081768775008936754311663686581249257671202432956251,199
74799160242737022847511190448576509678467500937012809949273923700775972044908,194
34005098021200576131758782359335971481908552404506598752431271171169592939225,191
108592612203513678970593065329159720379731638094818338389065244532578218940713,188
16526700383958735967006564078542762589655398912934870025203384598504720856650,181
81242393075860325295112700118971759685569261196261167604158103657839948381784,169
41365654436474886149755564822756477532981791235605124493623682659099562348847,161
14886580738327627988413702597959354559513836967764801645310374111471872353095,155
115528555577102219958953038590182293180490650469389737241543940901964099998695,154
55064213779024478918316683432710547169070544045645763558617604882280024883279,153
30858260486608857139802167945600841766010886503136344013977541807822307718870,144
88405163614122225979699753902756277638467864726364579601533936044505351174965,144
111881181609429413220696084303744537093328143202987579869124364867662025513796,140
246867334021275951760657497529770324279857542564221208485928328573478233934,135
96768384114749037823100604955646459490183893132873392089859762960100579285312,133
2861397237037897548242548428500186000155096002703825511791777891808557219884,132
3674760439295659788494218410777762427442835001977669837359774406067298156311,128
109227642683976467018283474858464386285741158237207713168637314422397315923037,124
111257350491026975865272491738767756949503700808040114345546150344175476055507,121
76142473005099468989476306622841938395297347613184691585669602687799378085087,117
60485750897953305409188617368325676708990988402128053339305279113760122646740,116
25784643077050332708206714527505576362706802378857607309604190314822920427383,115
99388113290049455426122752187182168463939713238736974212191453302180383114939,115
55063587677968676307884989672235253098272495805896727823990808231228756525612,115
97713510756956130237960044628909877946414218362569616318673005375296877661746,113
17717899346181017069575470398943364322730090765394763079314383017864561756809,111
48239492217365593582674223134874217972761852005565058089706162183368538649144,107
6072465813363703581612373330327470118120409398843058890912507740323726084568,102
26974035291810030926256636365857641637674564969647086835533652517154280591160,98
66359954560327433824047594449110195639692261968681082881421440531375254583406,96
115414102833153586421792686688389612262040915737508120735190602727967809775344,94
5076671236184723331659121522776852523536936080944201113541896737895378856901,94
34466312457816058543665030892903064923687307177730553204243449861936531787769,92
62731262571545078042185252205637476189115570755326005989248027784070916226667,92
27190548561717031636777832420346750454061511611453668686352732192963767405316,88
15353946530746007286755509279671678488000245873998743829600428405503848571876,86
8846223573133089748405163087288688281383283526071132836960939186435873972745,86
86497510459321139031182501452245706659013505054366931529422351514076657415572,86
29348001168383368974485114255081218189926823196344752772891870827584830448664,85
753419248685332223535332583490235127308116837123981857846825767770246361552,82
107949124502312718914583327997877665692844356740221939092966306622789840240435,82
40832159244498275380310498314027976393774517947842650172051821427417857494269,81
37340952590348686995621196711645046199196863013195591096820803911632027423400,81
37731114673508346376537798994488267238397308749016746290560311380776901262150,81
107442206329424650110451274106904517253647871297052665915434124467981611615938,80
92624234963485899914117476444260784585286422140687554646815984777584252264169,80
40650580108877192703595253587275718210327244696643654873685894570429000530891,78
105970234440656169854401149487530102139430805216984835592418545771735698378156,77
41895592801026372432857799693202935485221142526284018584548284393697777370278,73
56814665148299230316765136567952792195697083297530852827623970961579292756256,73
98122859890780667927143782173018833372897086884892662471059114940421885637730,72
55586567520375194277110350914141075836892099770068833948289458929662769403719,70
38693966697450113186600804100501999861766892184653950594935389031148815435350,70
77915210960540148829574243863207844087222149813559537436998623639079653406252,68
71685605503152712771421847278519696745953513931997873432329211120764058182345,67
55423268779878805512347072565748920707606770803203621297931944397023876088025,66
12023311925799948778706446156355652251538783331962752470571228543346066233535,64
99050686692257333334091333731657063839631283060944907692889388388609670498448,64
74735904478629812561619875820362618595106264743474118485661306633200377805342,62
44694725923222228141530251156185774891755085689624133399336398718713089078471,60
99765272544841378301491092563966181481889411445673481785318095068650123196376,59
37831307141691242798861799648759837571903335016015856512950009093346382474322,59
13224374357701483742594601810649710757980886810874638449312754984510622463912,59
4486343365176218005219211478884886448480470542528617296301104648520999270006,59
6874677124853285060019361366868806548395256686338725730343406441853653681493,59
44759911394325130704027810576721996972579496994133254804393524892743772083377,59
83201371632968293948386806868582843791418244003789233167204932965054631108598,58
31322721388233050224531592708657031142078130030916817445568092797214310345858,55
54412171184713970680067745899037010667277992939658703194722616497201889857154,55
81166835665963590969835059938578466481641115161093243883185169031952955325777,55
113702922177769261178119684922054998094234947936112909307419250832939894638940,55
62760627445555790747070279550167360571741728803979093294087769390178610509692,54
38209642170443187289867545613605438658812473075087516728766772001680673300208,53
2743278671242429294416371459986515518129751926292142623622027688974720528563,53
34859213610842768896794385513711237644286909078051926490057465734449697066296,53
51950690521333995501062418100027097773923233277815506210838512295976084730454,53
52923518987559360121640268480144573729951822360857128211762129333839643111655,52
110774096484513571239649023274066487662466578208861572848540274748875029381999,52
2330471785506868819356736331420394787012103959068934184682592079941040312561,52
104764008011395235734875304860924171259472653911309527299432547032880386039171,51
17888822801889557731974310313337393824240382373190627398265535135000315618603,51
67087620974774137429100346018228583730359757112511368566703547056453708637483,51
17852683932745287752866840630774799248213264458716705545572055644843036773843,51
9559437531754650524512855447744110526492867173706415666863294590825469734576,49
64888360386883028018863361305772794512826561643479679530423560136227207122157,49
34548919475939808475178734651128636394244588546658961052901175335058405643221,49
98988663110402514535828296346617672805805305173997722595272057963877423643225,49
63815708037011913728616645107275063909040574288338064788635771790383918869389,48
106692664888105056767003608633041478131787317963370213295061381814935966514721,47
3101533854070023763348476342855977893752938021894202553969065142619517629196,47
95357601336750834362243267623729574307656979629925504408381111658496043468269,46
19078318584272323921661318627229692210939665860496317526678572599366428019332,46
27938017763405389143012863116667108359151156412353877677521531427670171277352,46
87275547990447110419703241226230203588286302356395882374805906834188944596192,46
103803904139095282881185966693673701362246830817363552891222725054832909415613,45
96006391921261370854913521749894111766231966879973910539481267881497021056800,45
97652316823993632201705198568306657410797437532771271365556780637348022051816,45
97799664488246729616454879941746991239744849988596058476890462064099494354408,44
87748581453070377953148948259274955411543454855310917061907240908303159218074,44
59628583260374821626909459889188047111114503053554503538513636156088152306490,44
98004053585366428742262342949584541327198263065992042730171507003522475782898,44
91281028286378429123192682242185951028957239917718953035995703603088558214365,44
9716017138235370598073265913260505511867417458359705879021846787626593362459,44
36347450811037557253432054535306306515082047778788316488430731321832861995751,43
63951971244776938122634258748152138029230952261224441684109474174149757814869,43
71150313353314078471757210547096322802169870108023547298929401200155514308013,43
113258390460756853679124293784782295907482284056564002057472840986811491159648,43
53554971192175773641348462813479561971365829834908978379502852946752377451486,43
27209978109910200218629239601343561283463090316965774715712624521821371957240,43
114711878548286858469668045948029720912662458808835337872211436065988330218815,42
103654577779583729333473635561124417186986280974846663572493232496686190309346,42
28816350093112560108574559139103890999982564708145126807608043795022211623531,42
93597760003438289952012799663489152594017287210335715558111501316981761417419,42
30654974950251643459512515466966429061925140593114980944763672677317228742118,42
81536108885224178580849627512459782372735036064806212382146757614164765305732,41
36885082371314492781664567512330458443831200870775031024142202865896938823075,41
