substrate,smiles,k
ethylamine,CCN,960
propylamine,CCCN,960
glycine,NCC(=O)O,155
trifluoroethylamine,NCC(F)(F)F,0.042
aniline,Nc1ccccc1,0.011
imidazole,c1c[nH]cn1,35
