substrate,smiles,k
p-methoxy,c1cc(OC)ccc1C=C,48800
p-methyl,c1cc(C)ccc1C=C,16400
styrene,c1cc([H])ccc1C=C,811
p-chloro,c1cc(Cl)ccc1C=C,318
p-nitro,C=Cc1ccc([N+](=O)[O-])cc1,1.44
