rxn_idx,mapped,unmapped,orig_rxn_text,rule,rule_id,source,steps,quality,natural,organism,protein_refs,protein_db,ec_num
310252,[O:1]=[C:2]([OH:3])[CH2:4][C@:5]1([C:6](=[O:7])[OH:8])[CH:9]=[CH:10][C:11](=[O:12])[O:13]1>>[O:1]=[C:2]([OH:3])[CH:4]=[C:5]([C:6](=[O:7])[OH:8])[CH:9]=[CH:10][C:11](=[O:12])[OH:13],O=C(O)C[C@]1(C(=O)O)C=CC(=O)O1>>O=C(O)C=CC(=CC(=O)O)C(=O)O,"2-Carboxy-2,5-dihydro-5-oxofuran-2-acetate = cis-Butadiene-1,2,4-tricarboxylate",[#6:1]-[#6:2]-[#8:3]>>([#8:3].[#6:1]=[#6:2]),133,direct,single,1,FALSE,Sinorhizobium meliloti,[],,5.5.1.2
183369,[NH2:1][c:2]1[n:3][cH:4][n:5][c:6]2[c:7]1[n:8][cH:9][n:10]2[C@@H:11]1[O:12][C@H:13]([CH2:14][O:15][P:16](=[O:17])([OH:18])[O:19][P:20](=[O:21])([OH:22])[O:23][P:24](=[O:25])([OH:26])[OH:27])[C@@H:28]([OH:29])[C@H:30]1[OH:31].[O:32]=[Cr:33](=[O:34])([OH:35])[OH:36]>>[NH2:1][c:2]1[n:3][cH:4][n:5][c:6]2[c:7]1[n:8][cH:9][n:10]2[C@@H:11]1[O:12][C@H:13]([CH2:14][O:15][P:16](=[O:17])([OH:18])[O:35][Cr:33](=[O:32])(=[O:34])[OH:36])[C@@H:28]([OH:29])[C@H:30]1[OH:31].[OH:19][P:20](=[O:21])([OH:22])[O:23][P:24](=[O:25])([OH:26])[OH:27],Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O.O=[Cr](=O)(O)O>>Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O[Cr](=O)(=O)O)[C@@H](O)[C@H]1O.O=P(O)(O)OP(=O)(O)O,ATP + chromate = diphosphate + adenylyl chromate {r},[#8:1].[#8:2]-[#15:3]>>[#8:2].[#8:1]-[#15:3],281,suggested,single,1,FALSE,Rattus norvegicus,[],,2.7.7.4
307625,[O:1]=[P:2]([OH:3])([OH:4])[O:5][CH2:6][C@@H:7]1[CH2:8][CH2:9][CH:10]([OH:11])[O:12]1>>[O:1]=[P:2]([OH:3])([OH:4])[O:11][C@@H:10]1[CH2:9][CH2:8][C@@H:7]([CH2:6][OH:5])[O:12]1,O=P(O)(O)OC[C@@H]1CCC(O)O1>>O=P(O)(O)O[C@@H]1CC[C@@H](CO)O1,"2,3-dideoxyribose 5-phosphate = 2,3-dideoxyribose 1-phosphate {r}",([#8:1].[#8:2]-[#15:3])>>([#8:2].[#8:1]-[#15:3]),311,direct,single,0.517241379,FALSE,Geobacillus stearothermophilus,[],,5.4.2.7
225942,[OH2:1].[OH:2][C@H:3]1[C@@H:4]([OH:5])[C@@H:6]([OH:7])[O:8][C@@H:9]([O:10][c:11]2[cH:12][cH:13][c:14]3[cH:15][c:16]([Br:17])[cH:18][cH:19][c:20]3[cH:21]2)[C@@H:22]1[OH:23]>>[OH:10][c:11]1[cH:12][cH:13][c:14]2[cH:15][c:16]([Br:17])[cH:18][cH:19][c:20]2[cH:21]1.[OH:1][C@H:6]1[C@H:4]([OH:5])[C@@H:3]([OH:2])[C@@H:22]([OH:23])[C@@H:9]([OH:8])[O:7]1,O.O[C@H]1[C@@H](O)[C@@H](O)O[C@@H](Oc2ccc3cc(Br)ccc3c2)[C@@H]1O>>O[C@@H]1[C@@H](O)[C@H](O)O[C@H](O)[C@@H]1O.Oc1ccc2cc(Br)ccc2c1,6-bromo-2-naphthyl-beta-galactoside + H2O = 6-bromo-2-naphthol + beta-D-galactose,([#8:1].[#6:2]-[#8:3]-[#6:4]-[#8:5]).[#8:6]>>([#6:2]-[#8:6].[#8:1]-[#6:4]-[#8:3]).[#8:5],899,suggested,single,0.008474576,FALSE,Triticum aestivum,[],,3.2.1.23
124284,[CH3:1][C:2](=[O:3])[NH:4][C@H:5]1[C@H:6]([O:7][C@H:8]2[C@H:9]([O:10][CH:11]([CH3:12])[C:13](=[O:14])[NH:15][C@@H:16]([CH3:17])[C:18](=[O:19])[NH:20][C@H:21]([CH2:22][CH2:23][C:24](=[O:25])[NH:26][C@@H:27]([CH2:28][CH2:29][CH2:30][C@@H:31]([NH2:32])[C:33](=[O:34])[OH:35])[C:36](=[O:37])[NH:38][C@H:39]([CH3:40])[C:41](=[O:42])[OH:43])[C:44]([NH2:45])=[O:46])[C@@H:47]([NH:48][C:49](=[O:50])[CH2:51][OH:52])[CH:53]([OH:54])[O:55][C@@H:56]2[CH2:57][OH:58])[O:59][C@H:60]([CH2:61][OH:62])[C@@H:63]([OH:64])[C@@H:65]1[OH:66].[CH3:67][S:68][CH2:69][CH2:70][C@@H:71]([NH2:72])[C:73](=[O:74])[OH:75]>>[CH3:1][C:2](=[O:3])[NH:4][C@H:5]1[C@H:6]([O:7][C@H:8]2[C@H:9]([O:10][CH:11]([CH3:12])[C:13](=[O:14])[NH:15][C@@H:16]([CH3:17])[C:18](=[O:19])[NH:20][C@H:21]([CH2:22][CH2:23][C:24](=[O:25])[NH:26][C@@H:27]([CH2:28][CH2:29][CH2:30][C@@H:31]([NH2:32])[C:33](=[O:34])[OH:35])[C:36](=[O:37])[NH:38][C@H:39]([CH2:40][CH2:69][S:68][CH3:67])[C:41](=[O:42])[OH:43])[C:44]([NH2:45])=[O:46])[C@@H:47]([NH:48][C:49](=[O:50])[CH2:51][OH:52])[CH:53]([OH:54])[O:55][C@@H:56]2[CH2:57][OH:58])[O:59][C@H:60]([CH2:61][OH:62])[C@@H:63]([OH:64])[C@@H:65]1[OH:66].[CH3:70][C@@H:71]([NH2:72])[C:73](=[O:74])[OH:75],CC(=O)N[C@H]1[C@H](O[C@H]2[C@H](OC(C)C(=O)N[C@@H](C)C(=O)N[C@H](CCC(=O)N[C@@H](CCC[C@@H](N)C(=O)O)C(=O)N[C@H](C)C(=O)O)C(N)=O)[C@@H](NC(=O)CO)C(O)O[C@@H]2CO)O[C@H](CO)[C@@H](O)[C@@H]1O.CSCC[C@@H](N)C(=O)O>>CSCC[C@@H](NC(=O)[C@H](CCC[C@@H](N)C(=O)O)NC(=O)CC[C@@H](NC(=O)[C@H](C)NC(=O)C(C)O[C@H]1[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2NC(C)=O)[C@@H](CO)OC(O)[C@@H]1NC(=O)CO)C(N)=O)C(=O)O.C[C@@H](N)C(=O)O,GlcNAc-MurNGlyc-L-Ala1-D-iGln2-meso-DapNH23-D-Ala4 + D-methionine = GlcNAc-MurNGlyc-L-Ala1-D-iGln2-meso-DapNH23-D-Met4 + D-alanine,[#6:1].[#6:2]-[#6:3]>>[#6:2].[#6:1]-[#6:3],284,direct,single,1,FALSE,Mycobacterium tuberculosis,[],,2.3.2.12
