substrate,smiles,k
trifluoroethylamine,NCC(F)(F)F,0.026
ethanolamine,NCCO,1.95
benzylamine,NCc1ccccc1,2.78
glycine,NCC(=O)O,3.16
propylamine,CCCN,6.93
piperidine,C1CCNCC1,100
