id,smirks,sources
EVODEX.0-Nm1318,[O:18][C:19]([O:20])[C:28].[H][O:37][C:38]>>[C:19]([O:20])([C:28])[O:37][C:38],"EVODEX.0-P18658,EVODEX.0-P20206"
EVODEX.0-Nm1320,PO[C:19]([O:20])[C:28].[H][O:37][C:38]>>[C:19]([O:20])([C:28])[O:37][C:38],"EVODEX.0-P18660,EVODEX.0-P20354"
EVODEX.0-Nm1322,[H][O:18][C:17]>>[H]C(C)(O)[O:18][C:17],"EVODEX.0-P18662,EVODEX.0-P20209,EVODEX.0-P20408,EVODEX.0-P20594"
EVODEX.0-Nm1484,[H][O:3][P:2].[O:9][C:10]([O:11])[C:34]>>[P:2][O:3][C:10]([O:9])[C:34],"EVODEX.0-P20212,EVODEX.0-P20284"
EVODEX.0-Nm1489,[C:7]:[C:8]([O:9]):[C:14].[H][O:1]>>[O:1][C:8](:[C:7]):[C:14],"EVODEX.0-P20228,EVODEX.0-P32454"
EVODEX.0-Nm1500,[H][O:1].[O:5][C:6]([O:7])[C:19]>>[O:1][C:6]([O:5])[C:19],"EVODEX.0-P20325,EVODEX.0-P20507"
EVODEX.0-Nm1503,[O:6][C:7]([C:8])[C:16].[H][O:1]>>.[O:1][C:7]([C:8])[C:16],"EVODEX.0-P20432,EVODEX.0-P20444"
EVODEX.0-Nm1553,[O:2]=[P:3]([O:4])([O:5])[O:6].[H][O:1]>>[O:1][P:3](=[O:2])([O:4])[O:5],"EVODEX.0-P23631,EVODEX.0-P24213"
EVODEX.0-Nm1739,[O:6][C:7][C:8].[H][O:1]>>.[O:1][C:7][C:8],"EVODEX.0-P25337,EVODEX.0-P25348"
EVODEX.0-Nm1740,PO[C:7][C:8].[H][O:1]>>[O:1][C:7][C:8],"EVODEX.0-P33626,EVODEX.0-P33631"
EVODEX.0-Nm1741,PO[C:7][C:8]>>[H]O[C:7][C:8],"EVODEX.0-P33628,EVODEX.0-P33655"
EVODEX.0-Nm1805,[H][N:1][C:2].[C:43][C:44](=[O:45])[O:46].[O:68][P:69](=[O:70])([O:71])[O:72]>>[N:1]([C:2])[C:44]([C:43])=[O:45].[O:46][P:69]([O:68])(=[O:70])[O:71],"EVODEX.0-P27701,EVODEX.0-P49526"
EVODEX.0-Nm1806,[H][N:1][C:2].[C:43][C:44](=[O:45])[O:46].PO[P:69]([O:68])(=[O:70])[O:71]>>[N:1]([C:2])[C:44]([C:43])=[O:45].[O:46][P:69]([O:68])(=[O:70])[O:71],"EVODEX.0-P49529,EVODEX.0-P51654"
EVODEX.0-Nm2610,[H][S:48][C:47].[O:63][P:64](=[O:65])([O:66])[O:67].[O:80]=[C:81]([O:82])[C:83]>>[C:47][S:48][C:81](=[O:80])[C:83].[O:63][P:64](=[O:65])([O:66])[O:82],"EVODEX.0-P49531,EVODEX.0-P49560"
