id,smirks,sources
EVODEX.0-E1918,[H][N:1]([C:2])[H:81].[C:43][C:44](=[O:45])[O:46][H:130].[O:68][P:69](=[O:70])([O:71])[O:72]>>[N:1]([C:2])([C:44]([C:43])=[O:45])[H:81].[O:46]([P:69]([O:68])(=[O:70])[O:71])[H:130].[H],"EVODEX.0-P27701,EVODEX.0-P49526"
EVODEX.0-E437,[H][C:6]([C:5])([C:7])[H:34]>>[H]O[C@@:6]([C:5])([C:7])[H:34],"EVODEX.0-P6820,EVODEX.0-P6822"
EVODEX.0-E1567,[O:19][P:20](=[O:21])([O:22])[O:23].[H][O:32][H:49]>>[O:19][P:20](=[O:21])([O:22])[O:32][H:49].[H],"EVODEX.0-P23631,EVODEX.0-P24213"
EVODEX.0-E27,[H][O:3][C:2](=[O:1])[C:4]>>[O:1]=[C:2]=[O:3].[H],"EVODEX.0-P210,EVODEX.0-P252"
EVODEX.0-E436,[H][C:6]([C:5])([C:7])[H:34].O=[O:21]>>[H][O:21][C@@:6]([C:5])([C:7])[H:34],"EVODEX.0-P6817,EVODEX.0-P6818"
EVODEX.0-E3282,[O:63][P:64](=[O:65])([O:66])[O:67].[C:81][O:82][H:142]>>[H]O[C@]1([H])[C@]([H])(OP(=O)(O[H])O[H])[C@@]([H])(C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C(C([H])([H])[H])(C([H])([H])[H])[C@@]([H])(O[H])C(=O)N([H])C([H])([H])C([H])([H])C(=O)N([H])C([H])([H])C([H])([H])S)O[C@@]1([H])N1:C([H]):N:C2:C(N([H])[H]):N:C([H]):N:C:2:1.[O:63][P:64](=[O:65])([O:66])[O:82][H:142].[H],"EVODEX.0-P49533,EVODEX.0-P49562"
EVODEX.0-E2,[H][C:4]([C:2])([O:5][H])[H:61]>>[C:2][C:4](=[O:5])[H:61],"EVODEX.0-P5,EVODEX.0-P16"
EVODEX.0-E1112,[H][S:48][C:47].[H]O[C:81](=[O:80])[C:83]>>[C:47][S:48][C:81](=[O:80])[C:83],"EVODEX.0-P16863,EVODEX.0-P16878"
EVODEX.0-E235,[H]N([H])[C@@:5]([H])([C:4])[C:7]>>O=[C:5]([C:4])[C:7]=[O:8],"EVODEX.0-P4198,EVODEX.0-P4206"
EVODEX.0-E411,O=[O:49].[H][C:53](:[C:52]):[C:54]>>[H][O:49][C:53](:[C:52]):[C:54],"EVODEX.0-P6698,EVODEX.0-P6699"
