id,smirks,sources
EVODEX.0-Em426,O=[O:49].[H][C:53](:[C:52]):[C:54]>>[H][O:49][C:53](:[C:52]):[C:54],"EVODEX.0-P6699,EVODEX.0-P6704"
EVODEX.0-Em452,[H][C:15]([C:14])([C:16])[H:104].[O:78]=[O:79]>>[H][O:78][C:15]([C:14])([C:16])[H:104].[H][O:79][H],"EVODEX.0-P6817,EVODEX.0-P6825"
EVODEX.0-Em453,[H][C:6]([C:5])([C:7])[H:34].O=[O:21]>>[H][O:21][C:6]([C:5])([C:7])[H:34],"EVODEX.0-P6818,EVODEX.0-P6833"
EVODEX.0-Em454,[H][C:6]([C:5])([C:7])[H:34]>>O[C:6]([C:5])([C:7])[H:34],"EVODEX.0-P6820,EVODEX.0-P6822"
EVODEX.0-Em455,[H][C:6]([C:5])([C:7])[H:34].[O:21]=[O:22]>>[H][O:21][C:6]([C:5])([C:7])[H:34].[H][O:22]C,"EVODEX.0-P7712,EVODEX.0-P7731"
EVODEX.0-Em565,[H][C:6]([C:5])([C:7])[H:34].[H][O:20][C:18]([C:16]([C:15])=[O:17])=[O:19].[O:21]=[O:22]>>[C:18](=[O:19])=[O:20].[H][O:21][C:6]([C:5])([C:7])[H:34].[H][O:22][C:16]([C:15])=[O:17],"EVODEX.0-P7707,EVODEX.0-P7726"
EVODEX.0-Em566,[H][C:6]([C:5])([C:7])[H:34].[H][O:20][C:18](C=O)=[O:19].O=[O:21]>>[C:18](=[O:19])=[O:20].[H][O:21][C:6]([C:5])([C:7])[H:34],"EVODEX.0-P7709,EVODEX.0-P7728"
EVODEX.0-Em567,[H][C:6]([C:5])([C:7])[H:34].O=C[C:16]([C:15])=[O:17].[O:21]=[O:22]>>[H][O:21][C:6]([C:5])([C:7])[H:34].[H][O:22][C:16]([C:15])=[O:17],"EVODEX.0-P7710,EVODEX.0-P7729"
EVODEX.0-Em568,[H][C:6]([C:5])([C:7])[H:34].[H][O:20][C:18]([C:16]=[O:17])=[O:19]>>[C:18](=[O:19])=[O:20].O[C:6]([C:5])([C:7])[H:34].[C:16]=[O:17],"EVODEX.0-P7713,EVODEX.0-P7732"
EVODEX.0-Em569,[H][C:6]([C:5])([C:7])[H:34].[H][O:20][C:18](C=O)=[O:19]>>[C:18](=[O:19])=[O:20].O[C:6]([C:5])([C:7])[H:34],"EVODEX.0-P7714,EVODEX.0-P7733"
EVODEX.0-Em573,[H][C:6]([C:5])([C:7])[H:34].O=C[C:16]([C:15])=[O:17]>>O[C:6]([C:5])([C:7])[H:34].O[C:16]([C:15])=[O:17],"EVODEX.0-P7720,EVODEX.0-P7738"
EVODEX.0-Em975,[#85:48]-[#6:1](-[#85:49])(-[#85:50])-[#16&+:2](-[#6:3])-[#6:10].[#6:42]-[#8:43]-[#85]>>[#85:48]-[#6:1](-[#85:49])(-[#85:50])-[#8:43]-[#6:42].[#6:3]-[#16:2]-[#6:10],"EVODEX.0-P14031,EVODEX.0-P14036"
EVODEX.0-Em976,[#85:48]-[#6:1](-[#85:49])(-[#85:50])-[#16&+].[#6:42]-[#8:43]-[#85]>>[#85:48]-[#6:1](-[#85:49])(-[#85:50])-[#8:43]-[#6:42],"EVODEX.0-P14033,EVODEX.0-P14038"
EVODEX.0-Em1116,[H][O:3][C:2]([C:1])([C:4])[H:16]>>[C:4].[C:1][C:2](=[O:3])[H:16],"EVODEX.0-P46793,EVODEX.0-P46802"
EVODEX.0-Em1119,O[C:6]([C:5])([C:7])[H:29]>>O[C:6]([C:5])([C:7])[H:29],"EVODEX.0-P33661,EVODEX.0-P33718"
EVODEX.0-Em1151,[C:1][C:2](=[O:3])[S:4].[H][N:52]([C:53])[H:100]>>[C:1][C:2](=[O:3])[N:52]([C:53])[H:100].[S:4],"EVODEX.0-P16776,EVODEX.0-P16781"
EVODEX.0-Em1152,S[C:2]([C:1])=[O:3].[H][N:52]([C:53])[H:100]>>[C:1][C:2](=[O:3])[N:52]([C:53])[H:100],"EVODEX.0-P16777,EVODEX.0-P16782"
EVODEX.0-Em1161,S[C:49](=[O:50])[C:51]>>O[C:49](=[O:50])[C:51],"EVODEX.0-P17006,EVODEX.0-P17015"
