id,smirks,sources
EVODEX.0-N462,[H][C:6]([C:5])([C:7])[H:34].[H]OC(=O)[C:16]([C:15])=[O:17].[O:21]=[O:22]>>[H][O:21][C@@:6]([C:5])([C:7])[H:34].[H][O:22][C:16]([C:15])=[O:17],"EVODEX.0-P7710,EVODEX.0-P7729"
EVODEX.0-N463,[H][C:6]([C:5])([C:7])[H:34].[O:21]=[O:22]>>[H][O:21][C@@:6]([C:5])([C:7])[H:34].[H]OC(=O)C([H])([H])C([H])([H])C(=O)[O:22][H],"EVODEX.0-P7712,EVODEX.0-P7731"
EVODEX.0-N464,[H][C:6]([C:5])([C:7])[H:34].[H][O:20][C:18]([C:16])=[O:19]>>[C:18](=[O:19])=[O:20].[H]O[C@@:6]([C:5])([C:7])[H:34].[H]O[C:16],"EVODEX.0-P7713,EVODEX.0-P7732"
EVODEX.0-N465,[H][C:6]([C:5])([C:7])[H:34].[H]OC(=O)C([H])([H])C([H])([H])C(=O)[C:18](=[O:19])[O:20][H]>>[C:18](=[O:19])=[O:20].[H]O[C@@:6]([C:5])([C:7])[H:34],"EVODEX.0-P7714,EVODEX.0-P7733"
EVODEX.0-N467,[H][C:6]([C:5])([C:7])[H:34].[H]OC(=O)[C:16]([C:15])=[O:17]>>[H]O[C@@:6]([C:5])([C:7])[H:34].[H]O[C:16]([C:15])=[O:17],"EVODEX.0-P7720,EVODEX.0-P7738"
EVODEX.0-N485,[H][C:1]([C:2])([H:73])[H:74]>>[H]O[C:1]([C:2])([H:73])[H:74],"EVODEX.0-P7863,EVODEX.0-P7928"
EVODEX.0-N573,[H]C([H])([H])[O:2][C:3]>>[H][O:2][C:3],"EVODEX.0-P8764,EVODEX.0-P8787"
EVODEX.0-N692,[H][O:28][C:29]>>[H]C([H])([H])[O:28][C:29],"EVODEX.0-P10950,EVODEX.0-P14035"
EVODEX.0-N834,[#85:48]-[#6:1](-[#85:49])(-[#85:50])-[#16&+:2](-[#6:3])-[#6:10].[#6:42]-[#8:43]-[#85]>>[#85:48]-[#6:1](-[#85:49])(-[#85:50])-[#8:43]-[#6:42].[#6:3]-[#16:2]-[#6:10],"EVODEX.0-P14031,EVODEX.0-P14036"
EVODEX.0-N835,[#85:48]-[#6:1](-[#85:49])(-[#85:50])-[#16&+](-[#6](-[#85])(-[#85])-[#6](-[#85])(-[#85])-[#6@](-[#85])(-[#7](-[#85])-[#85])-[#6](=[#8])-[#8]-[#85])-[#6](-[#85])(-[#85])-[#6@@]1(-[#85])-[#8]-[#6@@](-[#85])(-[#7]2:[#6](-[#85]):[#7]:[#6]3:[#6](-[#7](-[#85])-[#85]):[#7]:[#6](-[#85]):[#7]:[#6]:2:3)-[#6@](-[#85])(-[#8]-[#85])-[#6@]-1(-[#85])-[#8]-[#85].[#6:42]-[#8:43]-[#85]>>[#85:48]-[#6:1](-[#85:49])(-[#85:50])-[#8:43]-[#6:42],"EVODEX.0-P14033,EVODEX.0-P14038"
