id,smirks,sources,hash
EVODEX.2.1-D87,[#6:8](-[#6@@:6])(-[#6:9]=[#8:10])(-[#1:37])-[#1].[#8:22]=[#8]>>[#6:8](-[#6@@:6])(-[#6:9]=[#8:10])(-[#8:22]-[#1])-[#1:37],"EVODEX.2.1-P264,EVODEX.2.1-P288,EVODEX.2.1-P290,EVODEX.2.1-P300,EVODEX.2.1-P306,EVODEX.2.1-P311,EVODEX.2.1-P325,EVODEX.2.1-P329,EVODEX.2.1-P334,EVODEX.2.1-P351",44954213276333468645042788627982357865473872102456261719026471691650920949576
EVODEX.2.1-D93,[#6:3]-[#6:4](-[#6:5]=[#8:6])(-[#1:26])-[#1].[#8:18]=[#8].[#8]=[#6](-[#8]-[#1])-[#6](-[#6](-[#6](=[#8])-[#6:15](=[#8:16])-[#8:17]-[#1])(-[#1])-[#1])(-[#1])-[#1]>>[#6:15](=[#8:16])=[#8:17].[#6:3]-[#6@:4](-[#6:5]=[#8:6])(-[#8:18]-[#1])-[#1:26],"EVODEX.2.1-P277,EVODEX.2.1-P295,EVODEX.2.1-P296,EVODEX.2.1-P302,EVODEX.2.1-P307,EVODEX.2.1-P320,EVODEX.2.1-P338,EVODEX.2.1-P343,EVODEX.2.1-P349,EVODEX.2.1-P420",59218113274597060225633085588533935086866133567563467876530768921877175003149
EVODEX.2.1-D329,[#6:3]1:[#6:4]:[#6:5](/[#6:6]=[#6:7]/[#6:8](=[#8:9])-[#16:10]-[#6:11]):[#6:58]:[#6:59]:[#6:60]:1.[#6:65]-[#8:66]-[#1]>>[#6:3]1:[#6:4]:[#6:5](/[#6:6]=[#6:7]/[#6:8](=[#8:9])-[#8:66]-[#6:65]):[#6:58]:[#6:59]:[#6:60]:1.[#16:10](-[#6:11])-[#1],"EVODEX.2.1-P1520,EVODEX.2.1-P1560,EVODEX.2.1-P1561,EVODEX.2.1-P1562,EVODEX.2.1-P1564,EVODEX.2.1-P1578,EVODEX.2.1-P1581,EVODEX.2.1-P1653,EVODEX.2.1-P1654,EVODEX.2.1-P1693",19069156182156848449886399250354579991245340009995115248517366506036949487530
EVODEX.2.1-D344,[#6:3]1:[#6:4]:[#6:5](/[#6:6]=[#6:7]/[#6:8](=[#8:9])-[#16]-[#6](-[#6](-[#7](-[#6](=[#8])-[#6](-[#6](-[#7](-[#6](=[#8])-[#6@](-[#8]-[#1])(-[#6](-[#6](-[#1])(-[#1])-[#1])(-[#6](-[#1])(-[#1])-[#1])-[#6](-[#8]-[#15](=[#8])(-[#8]-[#1])-[#8]-[#15](=[#8])(-[#8]-[#1])-[#8]-[#6](-[#6@]2(-[#8]-[#6@@](-[#7]3:[#6](:[#7]:[#6]4:[#6](-[#7](-[#1])-[#1]):[#7]:[#6](:[#7]:[#6]:3:4)-[#1])-[#1])(-[#6@](-[#8]-[#1])(-[#6@@]-2(-[#8]-[#15](=[#8])(-[#8]-[#1])-[#8]-[#1])-[#1])-[#1])-[#1])-[#1])(-[#1])-[#1])(-[#1])-[#1])-[#1])-[#1])(-[#1])-[#1])(-[#1])-[#1])-[#1])(-[#1])-[#1])(-[#1])-[#1]):[#6:58]:[#6:59]:[#6:60]:1.[#6:70]-[#8:71]-[#1]>>[#6:3]1:[#6:4]:[#6:5](/[#6:6]=[#6:7]/[#6:8](=[#8:9])-[#8:71]-[#6:70]):[#6:58]:[#6:59]:[#6:60]:1,"EVODEX.2.1-P1552,EVODEX.2.1-P1565,EVODEX.2.1-P1568,EVODEX.2.1-P1569,EVODEX.2.1-P1579,EVODEX.2.1-P1583,EVODEX.2.1-P1595,EVODEX.2.1-P1650,EVODEX.2.1-P1695,EVODEX.2.1-P1697",111489236325538408849366737853268738901658002685240997084187642229521207620414
EVODEX.2.1-D415,[#6:4]-[#6:5](=[#8:6])-[#7:7](-[#6:8]1:[#6:9]:[#6:10]:[#6:11](-[#7&+:12]=[#8:13]):[#6:15](-[#6:16]=[#8:17]):[#6:19]:1)-[#1]>>[#6:4]-[#6:5](=[#8:6])-[#8]-[#1].[#7:7](-[#6:8]1:[#6:9]:[#6:10]:[#6:11](-[#7&+:12]=[#8:13]):[#6:15](-[#6:16]=[#8:17]):[#6:19]:1)(-[#1])-[#1],"EVODEX.2.1-P1887,EVODEX.2.1-P3622,EVODEX.2.1-P4592,EVODEX.2.1-P4597,EVODEX.2.1-P4677,EVODEX.2.1-P4903,EVODEX.2.1-P4906,EVODEX.2.1-P4911,EVODEX.2.1-P4913,EVODEX.2.1-P5370",110683314834039027117225125382422818861683810512454782281144930230865365459370
EVODEX.2.1-D816,[#6:3](-[#6@@:2])(=[#8:4])-[#7:5](-[#6:6]1:[#6:7]:[#6:8]:[#6:9](-[#7&+:10]=[#8:11]):[#6:13](-[#6:14]=[#8:15]):[#6:17]:1)-[#1].[#8:24](-[#1])-[#1]>>[#6:3](-[#6@@:2])(=[#8:4])-[#8:24]-[#1].[#7:5](-[#6:6]1:[#6:7]:[#6:8]:[#6:9](-[#7&+:10]=[#8:11]):[#6:13](-[#6:14]=[#8:15]):[#6:17]:1)(-[#1])-[#1],"EVODEX.2.1-P3620,EVODEX.2.1-P4590,EVODEX.2.1-P4599,EVODEX.2.1-P4610,EVODEX.2.1-P4675,EVODEX.2.1-P4901,EVODEX.2.1-P4904,EVODEX.2.1-P4907,EVODEX.2.1-P4909,EVODEX.2.1-P5343",62828007948389189774050313459213263915350209673981765476485711308724917749082
EVODEX.2.1-D903,[#6:6](-[#6@:4])(=[#8:7])-[#7:8](-[#6:9]1:[#6:10]:[#6:11]:[#6:12]2:[#6:13]:[#6:14]:[#6:15]:[#6:16]:[#6:17]:2:[#6:18]:1)-[#1].[#8:19](-[#1])-[#1]>>[#6:6](-[#6@:4])(=[#8:7])-[#8:19]-[#1].[#7:8](-[#6:9]1:[#6:10]:[#6:11]:[#6:12]2:[#6:13]:[#6:14]:[#6:15]:[#6:16]:[#6:17]:2:[#6:18]:1)(-[#1])-[#1],"EVODEX.2.1-P4125,EVODEX.2.1-P4165,EVODEX.2.1-P4217,EVODEX.2.1-P4355,EVODEX.2.1-P4403,EVODEX.2.1-P4857,EVODEX.2.1-P4862,EVODEX.2.1-P4986,EVODEX.2.1-P5047,EVODEX.2.1-P5054",80885226530005677430542973657789353130421400922602159792262740367379022169596
EVODEX.2.1-D927,[#6:10](-[#6@@:2])(=[#8:11])-[#7:12](-[#6:13]1:[#6:14]:[#6:15]:[#6:16]2:[#6:17]:[#6:18]:[#6:19]:[#6:20]:[#6:21]:2:[#6:22]:1)-[#1]>>[#7:12](-[#6:13]1:[#6:14]:[#6:15]:[#6:16]2:[#6:17]:[#6:18]:[#6:19]:[#6:20]:[#6:21]:2:[#6:22]:1)(-[#1])-[#1].[#6:10](-[#6@@:2])(=[#8:11])-[#8]-[#1],"EVODEX.2.1-P4166,EVODEX.2.1-P4292,EVODEX.2.1-P4357,EVODEX.2.1-P4365,EVODEX.2.1-P4366,EVODEX.2.1-P4402,EVODEX.2.1-P4973,EVODEX.2.1-P4984,EVODEX.2.1-P5011,EVODEX.2.1-P5055",32738012867990149537557738642951718294948542174730216889680866059429517771324
EVODEX.2.1-D1019,[#6:16]1:[#6:17]:[#6:18]:[#6:19](-[#6:20](=[#8:21])-[#7:22](-[#6@@:23])-[#1]):[#6:32]:[#6:33]:1.[#8:34](-[#1])-[#1]>>[#6:16]1:[#6:17]:[#6:18]:[#6:19](-[#6:20](=[#8:21])-[#8:34]-[#1]):[#6:32]:[#6:33]:1.[#7:22](-[#6@@:23])(-[#1])-[#1],"EVODEX.2.1-P4470,EVODEX.2.1-P4472,EVODEX.2.1-P4474,EVODEX.2.1-P4480,EVODEX.2.1-P4576,EVODEX.2.1-P4616,EVODEX.2.1-P5390,EVODEX.2.1-P5393,EVODEX.2.1-P5395,EVODEX.2.1-P5444",50386971807070423364458330000292481357034251442456874697923910707406810209318
EVODEX.2.1-D1020,[#6:17]1:[#6:18]:[#6:19]:[#6:20](-[#6:21](=[#8:22])-[#7:23](-[#6@@:24])-[#1]):[#6:33]:[#6:34]:1>>[#6:17]1:[#6:18]:[#6:19]:[#6:20](-[#6:21](=[#8:22])-[#8]-[#1]):[#6:33]:[#6:34]:1.[#7:23](-[#6@@:24])(-[#1])-[#1],"EVODEX.2.1-P4471,EVODEX.2.1-P4473,EVODEX.2.1-P4475,EVODEX.2.1-P4481,EVODEX.2.1-P4575,EVODEX.2.1-P4618,EVODEX.2.1-P5392,EVODEX.2.1-P5394,EVODEX.2.1-P5529,EVODEX.2.1-P5557",87400740739697180616974698174105743465735041083894926497418313272436278309106
