id,mass,sources,formula_diff
EVODEX.2.1-M19,427.02955000000003,"EVODEX.2.1-P2822,EVODEX.2.1-P2828,EVODEX.2.1-P2925,EVODEX.2.1-P2971,EVODEX.2.1-P2989,EVODEX.2.1-P3053,EVODEX.2.1-P3056,EVODEX.2.1-P3059,EVODEX.2.1-P3061,EVODEX.2.1-P3062,EVODEX.2.1-P3083,EVODEX.2.1-P3089,EVODEX.2.1-P3093,EVODEX.2.1-P3095,EVODEX.2.1-P3100,EVODEX.2.1-P3106,EVODEX.2.1-P3116,EVODEX.2.1-P3118,EVODEX.2.1-P3137,EVODEX.2.1-P3246,EVODEX.2.1-P3315,EVODEX.2.1-P3317,EVODEX.2.1-P3319,EVODEX.2.1-P3329,EVODEX.2.1-P3337","{""C"": 10, ""H"": 15, ""N"": 5, ""O"": 10, ""P"": 2}"
EVODEX.2.1-M196,154.13584,"EVODEX.2.1-P1802,EVODEX.2.1-P1803,EVODEX.2.1-P1805,EVODEX.2.1-P3423,EVODEX.2.1-P3680","{""C"": 10, ""H"": 18, ""O"": 1}"
EVODEX.2.1-M197,157.05281,"EVODEX.2.1-P4735,EVODEX.2.1-P4764,EVODEX.2.1-P4765,EVODEX.2.1-P4804,EVODEX.2.1-P4814","{""C"": 10, ""H"": 7, ""N"": 1, ""O"": 1}"
EVODEX.2.1-M99,176.04734,"EVODEX.2.1-P1521,EVODEX.2.1-P1525,EVODEX.2.1-P1529,EVODEX.2.1-P1532,EVODEX.2.1-P1576,EVODEX.2.1-P1651,EVODEX.2.1-P1652,EVODEX.2.1-P1655,EVODEX.2.1-P1781,EVODEX.2.1-P3674","{""C"": 10, ""H"": 8, ""O"": 3}"
EVODEX.2.1-M198,175.06337,"EVODEX.2.1-P4736,EVODEX.2.1-P4738,EVODEX.2.1-P4741,EVODEX.2.1-P4802,EVODEX.2.1-P5014","{""C"": 10, ""H"": 9, ""N"": 1, ""O"": 2}"
EVODEX.2.1-M199,186.07940000000002,"EVODEX.2.1-P6886,EVODEX.2.1-P6892,EVODEX.2.1-P6894,EVODEX.2.1-P6900,EVODEX.2.1-P6906","{""C"": 11, ""H"": 10, ""N"": 2, ""O"": 1}"
EVODEX.2.1-M200,206.05790000000002,"EVODEX.2.1-P1559,EVODEX.2.1-P1582,EVODEX.2.1-P1853,EVODEX.2.1-P1854,EVODEX.2.1-P3672","{""C"": 11, ""H"": 10, ""O"": 4}"
EVODEX.2.1-M167,204.08996000000002,"EVODEX.2.1-P2410,EVODEX.2.1-P2534,EVODEX.2.1-P2539,EVODEX.2.1-P2544,EVODEX.2.1-P2548","{""C"": 11, ""H"": 12, ""N"": 2, ""O"": 2}"
EVODEX.2.1-M201,291.09540999999996,"EVODEX.2.1-P2189,EVODEX.2.1-P2195,EVODEX.2.1-P2196,EVODEX.2.1-P2197,EVODEX.2.1-P2198","{""C"": 11, ""H"": 17, ""N"": 1, ""O"": 8}"
EVODEX.2.1-M205,203.05827,"EVODEX.2.1-P2546,EVODEX.2.1-P2712,EVODEX.2.1-P2715,EVODEX.2.1-P2717,EVODEX.2.1-P2779","{""C"": 11, ""H"": 9, ""N"": 1, ""O"": 3}"
