id,smirks,sources,hash
EVODEX.1-C11,[#16:2]-[#6:3].[H]-[#7:35]>>[#6:3]-[#7:35].[#16:2],"EVODEX.1-P1232,EVODEX.1-P1233,EVODEX.1-P1264,EVODEX.1-P1277,EVODEX.1-P1282,EVODEX.1-P1290,EVODEX.1-P1292,EVODEX.1-P1310,EVODEX.1-P1418,EVODEX.1-P1448,EVODEX.1-P1463,EVODEX.1-P1525,EVODEX.1-P1539,EVODEX.1-P1551,EVODEX.1-P1589,EVODEX.1-P1706,EVODEX.1-P1709,EVODEX.1-P1730,EVODEX.1-P1776,EVODEX.1-P1825,EVODEX.1-P1827,EVODEX.1-P1837,EVODEX.1-P1843,EVODEX.1-P2065,EVODEX.1-P2069,EVODEX.1-P2071,EVODEX.1-P2105,EVODEX.1-P2109,EVODEX.1-P2110,EVODEX.1-P2111,EVODEX.1-P2115,EVODEX.1-P2542,EVODEX.1-P2545,EVODEX.1-P2547,EVODEX.1-P2583,EVODEX.1-P2592",30756538215720276003269269547389141451238676794454816572259118990247041208713
EVODEX.1-C12,[#7:23]-[#6:24].[H]-[#8:1]>>[H]-[#7:23].[#8:1]-[#6:24],"EVODEX.1-P4062,EVODEX.1-P4094,EVODEX.1-P4578,EVODEX.1-P4650,EVODEX.1-P4703,EVODEX.1-P4764,EVODEX.1-P4766,EVODEX.1-P4822,EVODEX.1-P4847,EVODEX.1-P4856,EVODEX.1-P5122,EVODEX.1-P5134,EVODEX.1-P5137,EVODEX.1-P5231,EVODEX.1-P5423,EVODEX.1-P5443,EVODEX.1-P5447,EVODEX.1-P5472,EVODEX.1-P5493,EVODEX.1-P5545,EVODEX.1-P5624,EVODEX.1-P5627,EVODEX.1-P5642,EVODEX.1-P5661,EVODEX.1-P5665,EVODEX.1-P5667,EVODEX.1-P5702,EVODEX.1-P5705,EVODEX.1-P5716,EVODEX.1-P5718,EVODEX.1-P5723,EVODEX.1-P5773,EVODEX.1-P5775,EVODEX.1-P5776,EVODEX.1-P5803,EVODEX.1-P5842",10597028619695677331734622004896914899386190707852753758247727715804703291543
EVODEX.1-C13,[#6:2]-[#7:3].[H]-[#7:5]>>[#6:2]-[#7:5].[H]-[#7:3],"EVODEX.1-P1269,EVODEX.1-P1270,EVODEX.1-P1325,EVODEX.1-P1328,EVODEX.1-P1332,EVODEX.1-P1333,EVODEX.1-P1334,EVODEX.1-P1358,EVODEX.1-P1360,EVODEX.1-P1361,EVODEX.1-P1363,EVODEX.1-P1365,EVODEX.1-P2121,EVODEX.1-P2124,EVODEX.1-P2127,EVODEX.1-P2133,EVODEX.1-P2139,EVODEX.1-P2140,EVODEX.1-P2142,EVODEX.1-P2614,EVODEX.1-P2615,EVODEX.1-P2616,EVODEX.1-P5274,EVODEX.1-P5275,EVODEX.1-P5463,EVODEX.1-P5466,EVODEX.1-P5467,EVODEX.1-P5471,EVODEX.1-P5490,EVODEX.1-P5497,EVODEX.1-P5573,EVODEX.1-P5634,EVODEX.1-P5637,EVODEX.1-P5678,EVODEX.1-P5681",7268726192502722315183590942369416146528839315951422092585403547173053006938
EVODEX.1-C14,[H]-[#6@@:14]-[#7:13].[#6:8]=[#8:9]>>[H]-[#6@:8]-[#7:13].[#8:9]=[#6:14],"EVODEX.1-P2812,EVODEX.1-P2833,EVODEX.1-P2844,EVODEX.1-P2857,EVODEX.1-P2890,EVODEX.1-P2897,EVODEX.1-P2898,EVODEX.1-P2901,EVODEX.1-P2903,EVODEX.1-P2904,EVODEX.1-P2905,EVODEX.1-P2910,EVODEX.1-P2931,EVODEX.1-P2932,EVODEX.1-P2948,EVODEX.1-P2982,EVODEX.1-P2984,EVODEX.1-P2986,EVODEX.1-P2995,EVODEX.1-P3025,EVODEX.1-P3082,EVODEX.1-P3086,EVODEX.1-P3087,EVODEX.1-P3090,EVODEX.1-P3091,EVODEX.1-P3099,EVODEX.1-P3112,EVODEX.1-P3126,EVODEX.1-P3175,EVODEX.1-P3214,EVODEX.1-P3215,EVODEX.1-P3221,EVODEX.1-P3223",115596296927518759498551322062636107584951009212358235611747051710495390148752
EVODEX.1-C15,[H]-[#8:18]>>[H]-[#8]-[#15](=[#8])(-[#8]-[H])-[#8:18],"EVODEX.1-P3237,EVODEX.1-P3243,EVODEX.1-P3251,EVODEX.1-P3253,EVODEX.1-P3269,EVODEX.1-P3270,EVODEX.1-P3279,EVODEX.1-P3285,EVODEX.1-P3300,EVODEX.1-P3331,EVODEX.1-P3335,EVODEX.1-P3337,EVODEX.1-P3340,EVODEX.1-P3354,EVODEX.1-P3372,EVODEX.1-P3374,EVODEX.1-P3376,EVODEX.1-P3387,EVODEX.1-P3390,EVODEX.1-P3392,EVODEX.1-P3427,EVODEX.1-P3453,EVODEX.1-P3473,EVODEX.1-P3526,EVODEX.1-P3528,EVODEX.1-P3532,EVODEX.1-P3546,EVODEX.1-P3548,EVODEX.1-P3550,EVODEX.1-P3553,EVODEX.1-P3571,EVODEX.1-P3574,EVODEX.1-P3606",3408185313409880629000561403046081354051537631276502710784630742832871861689
EVODEX.1-C16,[H]-[#7:1].[H]-[#8]-[#6:16]>>[#7:1]-[#6:16],"EVODEX.1-P4995,EVODEX.1-P5075,EVODEX.1-P5077,EVODEX.1-P5078,EVODEX.1-P5090,EVODEX.1-P5099,EVODEX.1-P5105,EVODEX.1-P5106,EVODEX.1-P5108,EVODEX.1-P5109,EVODEX.1-P5111,EVODEX.1-P5578,EVODEX.1-P5602,EVODEX.1-P5668,EVODEX.1-P5672,EVODEX.1-P5673,EVODEX.1-P5675,EVODEX.1-P5691,EVODEX.1-P5701,EVODEX.1-P5784,EVODEX.1-P5825,EVODEX.1-P6825,EVODEX.1-P6826,EVODEX.1-P6900,EVODEX.1-P6905,EVODEX.1-P6920,EVODEX.1-P7052,EVODEX.1-P7064,EVODEX.1-P7071,EVODEX.1-P7082,EVODEX.1-P7096,EVODEX.1-P7111",46825248069720205501592594979669229540899617513122328368452336587348170293017
EVODEX.1-C17,[H]-[#8]-[#6](=[#8])-[#6:3]>>[H]-[#6:3],"EVODEX.1-P3819,EVODEX.1-P6144,EVODEX.1-P6149,EVODEX.1-P6150,EVODEX.1-P6151,EVODEX.1-P6154,EVODEX.1-P6155,EVODEX.1-P6156,EVODEX.1-P6160,EVODEX.1-P6163,EVODEX.1-P6165,EVODEX.1-P6166,EVODEX.1-P6167,EVODEX.1-P6171,EVODEX.1-P6174,EVODEX.1-P6176,EVODEX.1-P6178,EVODEX.1-P6189,EVODEX.1-P6192,EVODEX.1-P6196,EVODEX.1-P6199,EVODEX.1-P6200,EVODEX.1-P6202,EVODEX.1-P6203,EVODEX.1-P6205,EVODEX.1-P6208,EVODEX.1-P6209,EVODEX.1-P6211,EVODEX.1-P83,EVODEX.1-P86",114509371435608681161237829189756959614484465104264812456263276278234197533026
EVODEX.1-C18,[H]-[#6:1]-[#7:2]>>[#8]=[#6:1].[H]-[#7:2],"EVODEX.1-P1046,EVODEX.1-P1049,EVODEX.1-P1052,EVODEX.1-P1079,EVODEX.1-P1085,EVODEX.1-P1089,EVODEX.1-P1091,EVODEX.1-P1097,EVODEX.1-P1098,EVODEX.1-P1106,EVODEX.1-P1107,EVODEX.1-P1119,EVODEX.1-P1130,EVODEX.1-P1149,EVODEX.1-P1157,EVODEX.1-P1171,EVODEX.1-P1174,EVODEX.1-P1177,EVODEX.1-P1183,EVODEX.1-P472,EVODEX.1-P888,EVODEX.1-P895,EVODEX.1-P899,EVODEX.1-P902,EVODEX.1-P907,EVODEX.1-P921,EVODEX.1-P932,EVODEX.1-P939,EVODEX.1-P966,EVODEX.1-P978",75964823386361656519368458748690147254250300933473149852496232777956808828148
EVODEX.1-C19,[H]-[#6:1]-[#7:2].[H]-[#8:12]-[H]>>[#6:1]=[#8:12].[H]-[#7:2],"EVODEX.1-P1000,EVODEX.1-P1001,EVODEX.1-P1010,EVODEX.1-P1023,EVODEX.1-P1024,EVODEX.1-P1042,EVODEX.1-P1065,EVODEX.1-P1083,EVODEX.1-P1086,EVODEX.1-P1094,EVODEX.1-P1116,EVODEX.1-P1118,EVODEX.1-P1121,EVODEX.1-P1150,EVODEX.1-P1151,EVODEX.1-P1154,EVODEX.1-P1160,EVODEX.1-P1166,EVODEX.1-P1175,EVODEX.1-P1178,EVODEX.1-P1181,EVODEX.1-P882,EVODEX.1-P897,EVODEX.1-P901,EVODEX.1-P910,EVODEX.1-P926,EVODEX.1-P937,EVODEX.1-P946,EVODEX.1-P950,EVODEX.1-P980",100093453132787568810417642957544039452754934234289703155979427318555745654299
EVODEX.1-C20,[#6:1]-[#6@@:2].[H]-[#6:61]>>[H]-[#6:2].[#6:1]-[#6@@:61],"EVODEX.1-P1337,EVODEX.1-P1338,EVODEX.1-P1339,EVODEX.1-P1341,EVODEX.1-P1401,EVODEX.1-P2806,EVODEX.1-P2848,EVODEX.1-P2877,EVODEX.1-P2902,EVODEX.1-P2918,EVODEX.1-P3005,EVODEX.1-P3006,EVODEX.1-P3045,EVODEX.1-P3050,EVODEX.1-P3052,EVODEX.1-P3058,EVODEX.1-P3060,EVODEX.1-P3062,EVODEX.1-P3064,EVODEX.1-P3065,EVODEX.1-P3074,EVODEX.1-P3075,EVODEX.1-P3101,EVODEX.1-P3138,EVODEX.1-P3160,EVODEX.1-P3162,EVODEX.1-P3164,EVODEX.1-P3168,EVODEX.1-P3784,EVODEX.1-P3805",69827432516963393511831834605881640945535302644873911736825391561046448604470
