id,smirks,sources,hash
EVODEX.2.1-C692,[#7:1](-[#6:2])(-[#1])-[#1].[#8:14]=[#6:15](-[#8]-[#1])-[#6:17]>>[#7:1](-[#6:2])(-[#6:15](=[#8:14])-[#6:17])-[#1],"EVODEX.2.1-P3618,EVODEX.2.1-P4244,EVODEX.2.1-P4581,EVODEX.2.1-P4586,EVODEX.2.1-P4605,EVODEX.2.1-P4607,EVODEX.2.1-P4669,EVODEX.2.1-P4733,EVODEX.2.1-P4740,EVODEX.2.1-P4743,EVODEX.2.1-P4751,EVODEX.2.1-P4803,EVODEX.2.1-P4811,EVODEX.2.1-P4813,EVODEX.2.1-P5365,EVODEX.2.1-P5426,EVODEX.2.1-P5550,EVODEX.2.1-P5627,EVODEX.2.1-P6640,EVODEX.2.1-P6992",24781576275500934150830407533750641749638840529813724917087563489005712849188
EVODEX.2.1-C812,[#6:7](-[#6@:5])(=[#8:8])-[#8:9]-[#1].[#7:10](-[#6:11])(-[#1])-[#1]>>[#6:7](-[#6@:5])(=[#8:8])-[#7:10](-[#6:11])-[#1].[#8:9](-[#1])-[#1],"EVODEX.2.1-P4245,EVODEX.2.1-P4582,EVODEX.2.1-P4594,EVODEX.2.1-P4598,EVODEX.2.1-P4601,EVODEX.2.1-P4604,EVODEX.2.1-P4606,EVODEX.2.1-P4615,EVODEX.2.1-P4660,EVODEX.2.1-P4671,EVODEX.2.1-P4737,EVODEX.2.1-P4739,EVODEX.2.1-P4768,EVODEX.2.1-P4776,EVODEX.2.1-P4795,EVODEX.2.1-P4812,EVODEX.2.1-P4873,EVODEX.2.1-P5363,EVODEX.2.1-P5460,EVODEX.2.1-P5625",67750154640340793343731802634223065741681683840325248887327469573683027818216
EVODEX.2.1-C377,[#6:144]-[#8:145]-[#1].[#15:102]-[#8:105]-[#6@:106](-[#8:107])(-[#6@@:115])-[#1:405]>>[#15:102]-[#8:105]-[#1].[#6:106](-[#8:145]-[#6:144])(-[#8:107])(-[#6@@:115])-[#1:405],"EVODEX.2.1-P1987,EVODEX.2.1-P1988,EVODEX.2.1-P1993,EVODEX.2.1-P1994,EVODEX.2.1-P1996,EVODEX.2.1-P2007,EVODEX.2.1-P2042,EVODEX.2.1-P2049,EVODEX.2.1-P2050,EVODEX.2.1-P2053,EVODEX.2.1-P2057,EVODEX.2.1-P2087,EVODEX.2.1-P2095,EVODEX.2.1-P2104,EVODEX.2.1-P2122,EVODEX.2.1-P2132,EVODEX.2.1-P2153,EVODEX.2.1-P2154,EVODEX.2.1-P2183",103395034787006678390657049187655610923270003901228067572608898979282296241597
EVODEX.2.1-C651,[#15:2]-[#8:5]-[#6:6](:[#6:7]):[#6:14].[#8:15](-[#1])-[#1]>>[#15:2]-[#8:5]-[#1].[#6:6](-[#8:15]-[#1])(:[#6:7]):[#6:14],"EVODEX.2.1-P3446,EVODEX.2.1-P3706,EVODEX.2.1-P3723,EVODEX.2.1-P3735,EVODEX.2.1-P3748,EVODEX.2.1-P3754,EVODEX.2.1-P3770,EVODEX.2.1-P3771,EVODEX.2.1-P3775,EVODEX.2.1-P3779,EVODEX.2.1-P3797,EVODEX.2.1-P3813,EVODEX.2.1-P3863,EVODEX.2.1-P3864,EVODEX.2.1-P3866,EVODEX.2.1-P3870,EVODEX.2.1-P3875,EVODEX.2.1-P5825,EVODEX.2.1-P5851",74799160242737022847511190448576509678467500937012809949273923700775972044908
EVODEX.2.1-C670,[#6:7]-[#6:8](-[#6:9])(-[#8:16]-[#6:17])-[#1:32]>>[#6:7]-[#6:8](-[#6:9])(-[#8]-[#1])-[#1:32].[#8:16](-[#6:17])-[#1],"EVODEX.2.1-P3527,EVODEX.2.1-P3651,EVODEX.2.1-P3660,EVODEX.2.1-P3702,EVODEX.2.1-P3878,EVODEX.2.1-P3905,EVODEX.2.1-P3909,EVODEX.2.1-P3921,EVODEX.2.1-P3942,EVODEX.2.1-P3943,EVODEX.2.1-P3980,EVODEX.2.1-P3984,EVODEX.2.1-P3993,EVODEX.2.1-P4016,EVODEX.2.1-P4045,EVODEX.2.1-P4071,EVODEX.2.1-P4084,EVODEX.2.1-P4099,EVODEX.2.1-P4105",26856635369927036805419312896680841667237437610551813395482285649028173467446
EVODEX.2.1-C682,[#6:19]-[#6:20](-[#6:21])(-[#8:33]-[#6:34])-[#1:83].[#8:51](-[#1])-[#1]>>[#6:19]-[#6:20](-[#6:21])(-[#8:51]-[#1])-[#1:83].[#8:33](-[#6:34])-[#1],"EVODEX.2.1-P3594,EVODEX.2.1-P3595,EVODEX.2.1-P3673,EVODEX.2.1-P3701,EVODEX.2.1-P3908,EVODEX.2.1-P3925,EVODEX.2.1-P3932,EVODEX.2.1-P3937,EVODEX.2.1-P3939,EVODEX.2.1-P3961,EVODEX.2.1-P3972,EVODEX.2.1-P3981,EVODEX.2.1-P3982,EVODEX.2.1-P3985,EVODEX.2.1-P4037,EVODEX.2.1-P4061,EVODEX.2.1-P4063,EVODEX.2.1-P4104,EVODEX.2.1-P4222",51264985423335907428273338086969067426363363795823885824312177572512540079688
EVODEX.2.1-C653,[#15:2]-[#8:5]-[#6:6](:[#6:7]):[#6:14]>>[#15:2]-[#8:5]-[#1].[#6:6](-[#8]-[#1])(:[#6:7]):[#6:14],"EVODEX.2.1-P3448,EVODEX.2.1-P3450,EVODEX.2.1-P3709,EVODEX.2.1-P3743,EVODEX.2.1-P3753,EVODEX.2.1-P3766,EVODEX.2.1-P3772,EVODEX.2.1-P3777,EVODEX.2.1-P3781,EVODEX.2.1-P3785,EVODEX.2.1-P3794,EVODEX.2.1-P3795,EVODEX.2.1-P3806,EVODEX.2.1-P3807,EVODEX.2.1-P3862,EVODEX.2.1-P3869,EVODEX.2.1-P3871,EVODEX.2.1-P5824",108959556148169759043905708859614177265001313239437593171479928338482182762497
EVODEX.2.1-C233,[#6:25]-[#8:27]-[#1]>>[#6:25]-[#8:27]-[#6](-[#1])(-[#1])-[#1],"EVODEX.2.1-P1336,EVODEX.2.1-P1340,EVODEX.2.1-P1343,EVODEX.2.1-P1344,EVODEX.2.1-P1353,EVODEX.2.1-P1357,EVODEX.2.1-P1359,EVODEX.2.1-P1361,EVODEX.2.1-P1382,EVODEX.2.1-P1416,EVODEX.2.1-P1437,EVODEX.2.1-P1438,EVODEX.2.1-P2024,EVODEX.2.1-P2129,EVODEX.2.1-P3613,EVODEX.2.1-P3616,EVODEX.2.1-P3617",7487319707321849381415161596346416305135968914730396545450423338596141580632
EVODEX.2.1-C252,[#8:47](-[#6@@:46])-[#1].[#8:78](-[#6@@:77])-[#15:79](=[#8:80])(-[#8:81])-[#8:82]>>[#8:47](-[#6@@:46])-[#15:79](=[#8:80])(-[#8:81])-[#8:82].[#8:78](-[#6@@:77])-[#1],"EVODEX.2.1-P1464,EVODEX.2.1-P1649,EVODEX.2.1-P2975,EVODEX.2.1-P3003,EVODEX.2.1-P3005,EVODEX.2.1-P3008,EVODEX.2.1-P3009,EVODEX.2.1-P3013,EVODEX.2.1-P3016,EVODEX.2.1-P3017,EVODEX.2.1-P3018,EVODEX.2.1-P3020,EVODEX.2.1-P3021,EVODEX.2.1-P3025,EVODEX.2.1-P3027,EVODEX.2.1-P3028",104934643399156969260271886022841864876420745687383274084897482880641581210118
EVODEX.2.1-C67,[#6:5]-[#6:6](-[#6:7])(-[#1:34])-[#1].[#8:21]=[#8:22]>>[#6:5]-[#6@@:6](-[#6:7])(-[#8:21]-[#1])-[#1:34].[#8]=[#6](-[#8]-[#1])-[#6](-[#6](-[#6](=[#8])-[#8:22]-[#1])(-[#1])-[#1])(-[#1])-[#1],"EVODEX.2.1-P255,EVODEX.2.1-P256,EVODEX.2.1-P263,EVODEX.2.1-P287,EVODEX.2.1-P299,EVODEX.2.1-P305,EVODEX.2.1-P308,EVODEX.2.1-P310,EVODEX.2.1-P341,EVODEX.2.1-P348,EVODEX.2.1-P350,EVODEX.2.1-P364,EVODEX.2.1-P391,EVODEX.2.1-P400,EVODEX.2.1-P428",3724914365029350366381549872335825453552879923414547745474012880191937347175
