id,smirks,sources
EVODEX.2-D1063,[#7](-[#6:2](=[#8:3])-[#7](-[#6])-[#1])(-[#1])-[#1]>>[#6:2](=[#8:3])=[#8],"EVODEX.2-P5047,EVODEX.2-P5057,EVODEX.2-P5066,EVODEX.2-P5106,EVODEX.2-P5114"
EVODEX.2-D1074,[#6:7](=[#8:8])-[#6:9](-[#6:10])(-[#7:14](-[#6](=[#8])-[#1])-[#1])-[#1:32]>>[#6:7](=[#8:8])-[#6@@:9](-[#6:10])(-[#7:14](-[#1])-[#1])-[#1:32],"EVODEX.2-P5161,EVODEX.2-P5162,EVODEX.2-P5164,EVODEX.2-P5166,EVODEX.2-P5170"
EVODEX.2-D1075,[#6]-[#7](-[#6:9](=[#8:10])-[#1:24])-[#1]>>[#6:9](=[#8:10])(-[#8]-[#1])-[#1:24],"EVODEX.2-P5167,EVODEX.2-P5175,EVODEX.2-P5177,EVODEX.2-P5178,EVODEX.2-P5181"
EVODEX.2-D1076,[#6]-[#6](=[#8])-[#8:10]-[#7:11]>>[#8:10](-[#7:11])-[#1],"EVODEX.2-P5182,EVODEX.2-P5183,EVODEX.2-P5184,EVODEX.2-P5185,EVODEX.2-P5186"
EVODEX.2-D1088,[#7:1](=[#6:2](-[#7:3])-[#7](-[#6])-[#1])-[#1]>>[#7:1](-[#6:2](-[#7:3])=[#8])(-[#1])-[#1],"EVODEX.2-P5222,EVODEX.2-P5267,EVODEX.2-P5276,EVODEX.2-P5285,EVODEX.2-P6373"
EVODEX.2-D1089,[#7](=[#6:2](-[#7:3])-[#1:15])-[#1]>>[#6:2](-[#7:3])(=[#8])-[#1:15],"EVODEX.2-P5224,EVODEX.2-P5230,EVODEX.2-P5237,EVODEX.2-P5241,EVODEX.2-P5243"
EVODEX.2-D1090,[#8:10](-[#1])-[#1]>>[#6](-[#7])(=[#8:10])-[#1],"EVODEX.2-P5225,EVODEX.2-P5232,EVODEX.2-P5235,EVODEX.2-P5247,EVODEX.2-P5287"
EVODEX.2-D1094,[#7]=[#6](-[#7:3](-[#1])-[#1])-[#7]>>[#7:3](-[#1])(-[#1])-[#1],"EVODEX.2-P5249,EVODEX.2-P5262,EVODEX.2-P5268,EVODEX.2-P5279,EVODEX.2-P5282"
EVODEX.2-D1095,[#7:36]-[#6:37](=[#7:38]-[#1])-[#7](-[#1])-[#1]>>[#7:36]-[#6:37](-[#7:38](-[#1])-[#1])=[#8],"EVODEX.2-P5250,EVODEX.2-P5254,EVODEX.2-P5257,EVODEX.2-P5260,EVODEX.2-P5280"
EVODEX.2-D1103,[#7]#[#6:2]-[#6:3]>>[#6:2](-[#6:3])(=[#8])-[#8]-[#1],"EVODEX.2-P5292,EVODEX.2-P5315,EVODEX.2-P5331,EVODEX.2-P5333,EVODEX.2-P5334"
EVODEX.2-D1104,[#6]-[#6]#[#7:6]>>[#7:6](-[#1])(-[#1])-[#1],"EVODEX.2-P5295,EVODEX.2-P5296,EVODEX.2-P5310,EVODEX.2-P5324,EVODEX.2-P5329"
EVODEX.2-D1118,[#6]-[#6](=[#8])-[#6:4](-[#6:5](=[#8:6])-[#6:7]=[#8:8])(-[#1:14])-[#1:15]>>[#6:4](-[#6:5](=[#8:6])-[#6:7]=[#8:8])(-[#1:14])(-[#1:15])-[#1],"EVODEX.2-P5377,EVODEX.2-P5381,EVODEX.2-P5388,EVODEX.2-P5391,EVODEX.2-P5396"
EVODEX.2-D1120,[#6:3]-[#6:4](=[#8:5])-[#6](-[#6](=[#8])-[#6]=[#8])(-[#1])-[#1]>>[#6:3]-[#6:4](=[#8:5])-[#8]-[#1],"EVODEX.2-P5379,EVODEX.2-P5383,EVODEX.2-P5393,EVODEX.2-P5394,EVODEX.2-P5397"
EVODEX.2-D1129,[#17]-[#6:2](-[#6:3])(-[#1:6])-[#1:7]>>[#6:2](-[#6:3])(-[#8]-[#1])(-[#1:6])-[#1:7],"EVODEX.2-P5430,EVODEX.2-P5439,EVODEX.2-P5442,EVODEX.2-P5444,EVODEX.2-P5450"
EVODEX.2-D1133,[#8:7]=[#6:8]=[#8:9]>>[#6]-[#6](=[#8])-[#6:8](-[#8:7]-[#1])=[#8:9],"EVODEX.2-P5458,EVODEX.2-P5462,EVODEX.2-P5464,EVODEX.2-P5466,EVODEX.2-P5471"
EVODEX.2-D1134,[#6:4]-[#6:5](=[#8:6])-[#1]>>[#6:4]-[#6:5](=[#8:6])-[#6](-[#8])=[#8],"EVODEX.2-P5459,EVODEX.2-P5460,EVODEX.2-P5465,EVODEX.2-P5470,EVODEX.2-P5474"
