id,smirks,sources,hash
EVODEX.1-N11,[#6:13]-[#6:14](=[#8:15])-[#16:16]-[#6:17].[H]-[#7:83](-[#6:82])-[H:196]>>[#6:13]-[#6:14](=[#8:15])-[#7:83](-[#6:82])-[H:196].[H]-[#16:16]-[#6:17],"EVODEX.1-P1418,EVODEX.1-P1448,EVODEX.1-P1463,EVODEX.1-P1525,EVODEX.1-P1539,EVODEX.1-P1551,EVODEX.1-P1706,EVODEX.1-P1709,EVODEX.1-P1730,EVODEX.1-P1776,EVODEX.1-P1825,EVODEX.1-P1837,EVODEX.1-P1843,EVODEX.1-P2105,EVODEX.1-P2109,EVODEX.1-P2110,EVODEX.1-P2111,EVODEX.1-P2115",44577287159886610924148841586705624260127828818840991543991447173123833921751
EVODEX.1-N12,[H]-[#8:27]-[#6:26]>>[H]-[#8]-[#15](=[#8])(-[#8]-[H])-[#8:27]-[#6:26],"EVODEX.1-P3237,EVODEX.1-P3251,EVODEX.1-P3253,EVODEX.1-P3269,EVODEX.1-P3270,EVODEX.1-P3279,EVODEX.1-P3300,EVODEX.1-P3331,EVODEX.1-P3335,EVODEX.1-P3337,EVODEX.1-P3340,EVODEX.1-P3354,EVODEX.1-P3387,EVODEX.1-P3390,EVODEX.1-P3392,EVODEX.1-P3427,EVODEX.1-P3453,EVODEX.1-P3473",19671429724330050096375140570394022582350594472274006230392821131637841284291
EVODEX.1-N13,([#15:16]-[#8:19]-[#15:20](=[#8:21])(-[#8:22])-[#8:23].[#8:29]-[#6@@:28](-[#6@@:13])(-[H:74])-[#6@:30](-[#6@:11])(-[#8:31])-[H:76]).[H]-[#8:60]-[#6@:59]>>([H]-[#8:19]-[#15:16].[#8:31]-[#6@:30](-[#6@:11])(-[H:76])-[#6@@:28](-[#6@@:13])(-[#8:29])-[H:74]).[#15:20](=[#8:21])(-[#8:22])(-[#8:23])-[#8:60]-[#6@:59],"EVODEX.1-P3252,EVODEX.1-P3259,EVODEX.1-P3280,EVODEX.1-P3299,EVODEX.1-P3317,EVODEX.1-P3324,EVODEX.1-P3330,EVODEX.1-P3339,EVODEX.1-P3344,EVODEX.1-P3353,EVODEX.1-P3386,EVODEX.1-P3388,EVODEX.1-P3395,EVODEX.1-P3426,EVODEX.1-P3429,EVODEX.1-P3472,EVODEX.1-P3598,EVODEX.1-P3604",49997068492277390786526433169160710356529847234320220976713162920438879970349
EVODEX.1-N14,[#6:1]-[#6:2](=[#8:3])-[#8:4]-[H:22].[H]-[#7:19](-[#6:18])-[H:28]>>[#6:1]-[#6:2](=[#8:3])-[#7:19](-[#6:18])-[H:28].[H]-[#8:4]-[H:22],"EVODEX.1-P5076,EVODEX.1-P5083,EVODEX.1-P5084,EVODEX.1-P5095,EVODEX.1-P5098,EVODEX.1-P5103,EVODEX.1-P5104,EVODEX.1-P5107,EVODEX.1-P5110,EVODEX.1-P5112,EVODEX.1-P5113,EVODEX.1-P5484,EVODEX.1-P5597,EVODEX.1-P5608,EVODEX.1-P5694,EVODEX.1-P5789,EVODEX.1-P5791",91514430312460076028136107383811583033141008046202396783495906114694908722234
EVODEX.1-N15,[H]-[#6:2](-[#6:1])(-[#6:3](-[#8:4]-[H:55])(-[#6:5])-[H:91])-[H:92]>>[#6:1]-[#6:2](=[#6:3](-[#6:5])-[H:91])-[H:92].[H]-[#8:4]-[H:55],"EVODEX.1-P6401,EVODEX.1-P6405,EVODEX.1-P6410,EVODEX.1-P6429,EVODEX.1-P6430,EVODEX.1-P6431,EVODEX.1-P6432,EVODEX.1-P6434,EVODEX.1-P6438,EVODEX.1-P6442,EVODEX.1-P6444,EVODEX.1-P6448,EVODEX.1-P6454,EVODEX.1-P6457,EVODEX.1-P82",93023607447379305326123387168562805923409937539073676347553997727424371663307
EVODEX.1-N16,[H]-[#8:56]-[#6:55].[H]-[#8]-[#6@@]1(-[H])-[#6@@](-[H])(-[#8]-[H])-[#6@](-[H])(-[#7]2:[#6](-[H]):[#7]:[#6]3:[#6](-[#7](-[H])-[H]):[#7]:[#6](-[H]):[#7]:[#6]:2:3)-[#8]-[#6@]-1(-[H])-[#6](-[H])(-[H])-[#8]-[#15](=[#8])(-[#8]-[H])-[#8]-[#15](=[#8])(-[#8]-[H])-[#8]-[#15:80](=[#8:81])(-[#8:82])-[#8:83]>>[#6:55]-[#8:56]-[#15:80](=[#8:81])(-[#8:82])-[#8:83],"EVODEX.1-P2513,EVODEX.1-P3241,EVODEX.1-P3277,EVODEX.1-P3278,EVODEX.1-P3306,EVODEX.1-P3315,EVODEX.1-P3318,EVODEX.1-P3319,EVODEX.1-P3334,EVODEX.1-P3336,EVODEX.1-P3338,EVODEX.1-P3361,EVODEX.1-P3389,EVODEX.1-P3391,EVODEX.1-P3425",50905175149513191363304753893456143313553863179869670919871073365117767143810
EVODEX.1-N17,[H]-[#8:18]-[#15:16]>>[H]-[#8]-[#15](=[#8])(-[#8]-[H])-[#8:18]-[#15:16],"EVODEX.1-P3243,EVODEX.1-P3285,EVODEX.1-P3372,EVODEX.1-P3374,EVODEX.1-P3376,EVODEX.1-P3526,EVODEX.1-P3528,EVODEX.1-P3532,EVODEX.1-P3546,EVODEX.1-P3548,EVODEX.1-P3550,EVODEX.1-P3553,EVODEX.1-P3571,EVODEX.1-P3574,EVODEX.1-P3606",99329748402888826635524067038235425564254798142992028199219566313830914206197
EVODEX.1-N18,[#6:4]-[#6:5](=[#8:6])-[#8:7]-[H:60].[#6:54]-[#16:55]-[#6:56](=[#8:57])-[#6:58]>>[#6:4]-[#6:5](=[#8:6])-[#16:55]-[#6:54].[#8:7](-[#6:56](=[#8:57])-[#6:58])-[H:60],"EVODEX.1-P3788,EVODEX.1-P3790,EVODEX.1-P3792,EVODEX.1-P3801,EVODEX.1-P3802,EVODEX.1-P3803,EVODEX.1-P3807,EVODEX.1-P3810,EVODEX.1-P3812,EVODEX.1-P3813,EVODEX.1-P3815,EVODEX.1-P3823,EVODEX.1-P3829,EVODEX.1-P3837,EVODEX.1-P3846",5076671236184723331659121522776852523536936080944201113541896737895378856901
EVODEX.1-N19,[H]-[#8:67]-[#6:66]>>[H]-[#6](-[H])(-[H])-[#6](=[#8])-[#8:67]-[#6:66],"EVODEX.1-P1569,EVODEX.1-P1587,EVODEX.1-P1601,EVODEX.1-P1618,EVODEX.1-P1684,EVODEX.1-P1698,EVODEX.1-P1842,EVODEX.1-P1844,EVODEX.1-P1845,EVODEX.1-P1855,EVODEX.1-P1857,EVODEX.1-P2059,EVODEX.1-P2060,EVODEX.1-P2061",60834357553513004676128554437900215562327730082401996911685141850098872113
EVODEX.1-N20,[H]-[#6@@:14](-[#7:13](-[H:37])-[H:38])(-[#6:15])-[#6:21].[#6:7]-[#6:8](=[#8:9])-[#6:10]>>[H]-[#6@:8](-[#6:7])(-[#6:10])-[#7:13](-[H:37])-[H:38].[#8:9]=[#6:14](-[#6:15])-[#6:21],"EVODEX.1-P2812,EVODEX.1-P2890,EVODEX.1-P2897,EVODEX.1-P2898,EVODEX.1-P2931,EVODEX.1-P2932,EVODEX.1-P2948,EVODEX.1-P3025,EVODEX.1-P3082,EVODEX.1-P3112,EVODEX.1-P3126,EVODEX.1-P3175,EVODEX.1-P3221,EVODEX.1-P3223",66651419884246614575268124969192805803666815914222896439865110563411225676136
