id,smirks,sources
EVODEX.2-E11,[#6:1](-[#8]-[#6])(-[#1:18])(-[#1:19])-[#1:20].[#8:17](-[#1])-[#1]>>[#6:1](-[#8:17]-[#1])(-[#1:18])(-[#1:19])-[#1:20],"EVODEX.2-P4119,EVODEX.2-P4113,EVODEX.2-P3718,EVODEX.2-P4251,EVODEX.2-P3673"
EVODEX.2-E12,[#8:7]-[#6@:8](-[#8:9])(-[#6@:10])-[#1:20]>>[#8:7]-[#6@@:8](-[#8:9])(-[#6@:10])-[#1:20],"EVODEX.2-P5839,EVODEX.2-P4028,EVODEX.2-P4241,EVODEX.2-P4235,EVODEX.2-P5840"
EVODEX.2-E13,[#6:37]-[#6:38](=[#8:39])-[#8:40]-[#1].([#6:45]-[#6@:46](-[#7:47])(-[#6:52](=[#8:53])-[#7:54])-[#1:119].[#6:50]-[#7:51](-[#1])-[#1])>>([#6:37]-[#6:38](=[#8:39])-[#7:51](-[#6:50])-[#1].[#7:47]-[#6@@:46](-[#6:45])(-[#6:52](=[#8:53])-[#7:54])-[#1:119]).[#8:40](-[#1])-[#1],"EVODEX.2-P4636,EVODEX.2-P4646,EVODEX.2-P4637,EVODEX.2-P4627,EVODEX.2-P4629"
EVODEX.2-E14,[#7:5]-[#6:6](=[#7:7]-[#1])-[#1:21].[#8:11](-[#1])-[#1]>>[#7:5]-[#6:6](=[#8:11])-[#1:21].[#7:7](-[#1])(-[#1])-[#1],"EVODEX.2-P5229,EVODEX.2-P5245,EVODEX.2-P5242,EVODEX.2-P5226,EVODEX.2-P5239"
EVODEX.2-E15,[#6:5](-[#6@:4])#[#7:6].[#8:14](-[#1])-[#1]>>[#6:5](-[#6@:4])(-[#7:6](-[#1])-[#1])=[#8:14],"EVODEX.2-P5738,EVODEX.2-P5321,EVODEX.2-P5328,EVODEX.2-P5719,EVODEX.2-P5726"
EVODEX.2-E16,[#6:13]-[#6:14](-[#17:15])(-[#1:44])-[#1:45].[#8:16](-[#1])-[#1]>>[#6:13]-[#6:14](-[#8:16]-[#1])(-[#1:44])-[#1:45].[#17:15]-[#1],"EVODEX.2-P5429,EVODEX.2-P5446,EVODEX.2-P5432,EVODEX.2-P5433,EVODEX.2-P5441"
EVODEX.2-E17,[#6:5](-[#6@:4])(-[#7:6](-[#1])-[#1])=[#8:7]>>[#6:5](-[#6@:4])#[#7:6].[#8:7](-[#1])-[#1],"EVODEX.2-P5732,EVODEX.2-P5718,EVODEX.2-P5729,EVODEX.2-P5721,EVODEX.2-P5730"
EVODEX.2-E18,[#6:11](-[#6@@:9])(=[#8:12])-[#8:13]-[#1].([#7:14]-[#6:15]1:[#7:16]:[#6:17](:[#7:18]:[#6:19]2:[#6:20]:1:[#7:21]:[#6:22](:[#7:23]:2-[#6@@:24])-[#1:64])-[#1:63].[#8:32]-[#15:33](=[#8:34])(-[#8:35])-[#8:36]-[#15:37](=[#8:38])(-[#8:39])-[#8:40])>>[#6](-[#6@@])(=[#8])-[#8]-[#6:11](-[#6@@:9])=[#8:12].([#8:13](-[#15:33](-[#8:32])(=[#8:34])-[#8:35])-[#1].[#7:23]1(-[#6@@:24]):[#6:19]2:[#7:18]:[#6:17](:[#7:16]:[#6:15](-[#7:14]):[#6:20]:2:[#7:21]:[#6:22]:1-[#1:64])-[#1:63]).[#8:36](-[#15:37](=[#8:38])(-[#8:39])-[#8:40])-[#1],"EVODEX.2-P6185,EVODEX.2-P6184,EVODEX.2-P6272,EVODEX.2-P6209,EVODEX.2-P5874"
EVODEX.2-E19,[#8:1]=[#8:2].[#6:15](-[#6@@:14])(-[#8:16]-[#1])(-[#1:33])-[#1]>>[#8:1](-[#8:2]-[#1])-[#1].[#6:15](-[#6@@:14])(=[#8:16])-[#1:33],"EVODEX.2-P153,EVODEX.2-P122,EVODEX.2-P162,EVODEX.2-P161,EVODEX.2-P140"
EVODEX.2-E20,[#6:1]-[#16:2]-[#6:3].[#8:60]=[#8:61]>>[#6:1]-[#16@:2](-[#6:3])=[#8:61].[#8:60](-[#1])-[#1],"EVODEX.2-P571,EVODEX.2-P212,EVODEX.2-P576,EVODEX.2-P600,EVODEX.2-P595"
