id,smirks,sources
EVODEX.1-E1013,[H]C(=C([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)[N:20]([C:21])[H:35]>>[H][N:20]([C:21])[H:35],"EVODEX.1-P8053,EVODEX.1-P8183,EVODEX.1-P8188,EVODEX.1-P8422,EVODEX.1-P8428"
EVODEX.1-E1014,[H][N:19]([C:18])[H:85]>>[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)[N:19]([C:18])[H:85],"EVODEX.1-P2677,EVODEX.1-P3039,EVODEX.1-P8304,EVODEX.1-P8305"
EVODEX.1-E1016,[O:15][P:16](=[O:17])([O:18])[O:19][P:20]>>[H]OP(=O)(O[H])OP(=O)(O[H])O[P:16]([O:15])(=[O:17])[O:18].[H][O:19][P:20],EVODEX.1-P5171
EVODEX.1-E1017,[O:15][P:16](=[O:17])([O:18])[O:19][C:20]>>[H]OP(=O)(O[H])OP(=O)(O[H])O[P:16]([O:15])(=[O:17])[O:18].[H][O:19][C:20],EVODEX.1-P5023
EVODEX.1-E1020,[H]OC(=O)C([H])([H])C([H])([H])C(=O)[S:48][C:47].[H]O[C:57](=[O:56])[C:59]>>[C:47][S:48][C:57](=[O:56])[C:59],"EVODEX.1-P5426,EVODEX.1-P5437,EVODEX.1-P5438,EVODEX.1-P5524"
EVODEX.1-E1029,[C:10][C:11](=[O:12])[H:23]>>[H]OC(=O)C([H])([H])C([H])([H])C(=O)[C@@:11]([C:10])([O:12][H])[H:23],"EVODEX.1-P2215,EVODEX.1-P2237,EVODEX.1-P2239,EVODEX.1-P2240,EVODEX.1-P2243"
EVODEX.1-E1030,[H][C:9]([N:8]([H:30])[H:31])([C:10])[H:28]>>[H]OC(=O)C([H])(C([H])([H])C([H])([H])[H])[N:8]([H:30])[H:31].O=[C:9]([C:10])[H:28],"EVODEX.1-P4114,EVODEX.1-P4218,EVODEX.1-P4594,EVODEX.1-P4600"
EVODEX.1-E1033,[C:10][C:12](=[O:13])[S:14][C:15]>>[H]C([H])([H])C(=O)C([H])([H])C(=O)[S:14][C:15].[H]O[C:12]([C:10])=[O:13],"EVODEX.1-P5508,EVODEX.1-P5530,EVODEX.1-P5534,EVODEX.1-P5538,EVODEX.1-P5539"
EVODEX.1-E1035,[H][C@:9]([N:8]([H:26])[H:27])([C:10])[C:12]=[O:13]>>[H]OC(=O)C([H])(C([H])([H])C([H])([H])[H])[N:8]([H:26])[H:27].O=[C:9]([C:10])[C:12]=[O:13],EVODEX.1-P4556
EVODEX.1-E1041,[H]OC([H])(C([H])([H])[H])C([H])([H])C(=O)[O:7][C:8]>>[H][O:7][C:8],"EVODEX.1-P5721,EVODEX.1-P5723,EVODEX.1-P5724,EVODEX.1-P5725,EVODEX.1-P6073"
EVODEX.1-E1051,[C:15][C:16](=[O:17])[C:18]=[O:19]>>[H]OC(=O)C(C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])=[O:17].[H]N([H])[C:16]([H])([C:15])[C:18]=[O:19],EVODEX.1-P4347
EVODEX.1-E1052,[O:10]=[C:11][C:13](=[O:14])[C:15]>>[H]OC(=O)C(C([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])=[O:14].[H]N([H])[C@:13]([H])([C:11]=[O:10])[C:15],"EVODEX.1-P4366,EVODEX.1-P4368"
EVODEX.1-E1054,[C:3][C:4]([S:5][C:6])([H:25])[H:26]>>[H]OC(=O)C([H])([H])C([H])([H])C(=O)O[C:4]([C:3])([H:25])[H:26].[H][S:5][C:6],"EVODEX.1-P3786,EVODEX.1-P3796"
EVODEX.1-E1055,[C:47][S:48][C:49](=[O:50])[C:51]>>[H]O[C:49](=[O:50])[C:51].[H]OC(=O)C([H])([H])C([H])([H])C(=O)[S:48][C:47],"EVODEX.1-P5409,EVODEX.1-P5436,EVODEX.1-P5498,EVODEX.1-P5512,EVODEX.1-P5526"
EVODEX.1-E1057,[H]O[C@@:24]([C:17])([C:22])[H:39].[H]O[C:6]([C:5])=[O:7]>>[H][C:24]([C:17])([C:22])[H:39].[H]OC(=O)[C:6]([C:5])=[O:7],"EVODEX.1-P490,EVODEX.1-P498,EVODEX.1-P505,EVODEX.1-P508,EVODEX.1-P519"
EVODEX.1-E106,[O:7][C@:8]([O:9])([C:10])[H:19]>>[O:7][C@@:8]([O:9])([C:10])[H:19],"EVODEX.1-P6624,EVODEX.1-P6631,EVODEX.1-P6632,EVODEX.1-P9462,EVODEX.1-P9463"
EVODEX.1-E1061,[H]N([H])C([H])([H])C([H])([H])C(=O)[N:6]([C:5])[H:25]>>[H][N:6]([C:5])[H:25],"EVODEX.1-P6897,EVODEX.1-P6898,EVODEX.1-P6990,EVODEX.1-P6994"
EVODEX.1-E1062,[H]N([H])[C@]([H])(C(=O)[N:6]([C:7])[C:10])C([H])([H])[H]>>[H][N:6]([C:7])[C:10],"EVODEX.1-P7017,EVODEX.1-P7022,EVODEX.1-P7031,EVODEX.1-P7063"
EVODEX.1-E1063,[H]OC(=O)[C@@]([H])(N([H])[C:42]([C:40])=[O:43])C([H])([H])[H]>>[H]O[C:42]([C:40])=[O:43],"EVODEX.1-P7134,EVODEX.1-P7161,EVODEX.1-P7186,EVODEX.1-P7187,EVODEX.1-P7198"
EVODEX.1-E1064,[H]OC(=O)C([H])([H])C([H])([H])N([H])[C:8]([C:6])=[O:9]>>[H]O[C:8]([C:6])=[O:9],"EVODEX.1-P7141,EVODEX.1-P7762,EVODEX.1-P8002,EVODEX.1-P8004"
EVODEX.1-E1065,[H]OS(=O)(=O)[C:4]([H])([C:3])[H:22]>>O=[C:4]([C:3])[H:22],"EVODEX.1-P531,EVODEX.1-P545,EVODEX.1-P562,EVODEX.1-P577,EVODEX.1-P596"
EVODEX.1-E1067,[H]OS(=O)(=O)O[C:5]([H])([C:4])[H:24]>>O=[C:5]([C:4])[H:24],"EVODEX.1-P787,EVODEX.1-P799,EVODEX.1-P808,EVODEX.1-P821,EVODEX.1-P846"
EVODEX.1-E1070,[H]N([H])C([H])([H])C([H])([H])[O:27][P:24]>>[H][O:27][P:24],"EVODEX.1-P6285,EVODEX.1-P6312,EVODEX.1-P6314,EVODEX.1-P6319"
EVODEX.1-E1071,[H]OC([H])([H])C([H])([H])N([H])[C:17]([C:16])=[O:18]>>[H]O[C:17]([C:16])=[O:18],"EVODEX.1-P8249,EVODEX.1-P8250,EVODEX.1-P8252,EVODEX.1-P8259,EVODEX.1-P8268"
EVODEX.1-E1072,[H]OC([H])(C([H])([H])N([H])[H])[C:18]([C:17])=[O:19]>>[H]O[C:18]([C:17])=[O:19],"EVODEX.1-P8197,EVODEX.1-P8255,EVODEX.1-P8257,EVODEX.1-P8262,EVODEX.1-P8264"
EVODEX.1-E1079,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])[O:5][C:6]>>[H][O:5][C:6],"EVODEX.1-P5580,EVODEX.1-P5634,EVODEX.1-P5657,EVODEX.1-P5994,EVODEX.1-P6026"
EVODEX.1-E1081,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)[O:8][C:9]>>[H][O:8][C:9],"EVODEX.1-P5618,EVODEX.1-P5619,EVODEX.1-P5623,EVODEX.1-P5649,EVODEX.1-P5655"
EVODEX.1-E1082,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)[N:8]([C:9])[H:21]>>[H][N:8]([C:9])[H:21],"EVODEX.1-P6087,EVODEX.1-P7809,EVODEX.1-P8017,EVODEX.1-P8122,EVODEX.1-P8124"
EVODEX.1-E1083,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[O:6][C:7]>>[H][O:6][C:7],"EVODEX.1-P5585,EVODEX.1-P5625,EVODEX.1-P5629,EVODEX.1-P5993,EVODEX.1-P6069"
EVODEX.1-E1084,[H]C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C(=O)[N:9]([C:10])[H:24]>>[H][N:9]([C:10])[H:24],"EVODEX.1-P7892,EVODEX.1-P8117,EVODEX.1-P8214,EVODEX.1-P8417,EVODEX.1-P8425"
EVODEX.1-E1085,[H]OC([H])([H])[C@@]1([H])O[C@]([H])([O:2][C:1])[C@@]([H])(O[H])[C@]1([H])O[H]>>[H][O:2][C:1],"EVODEX.1-P6713,EVODEX.1-P6715,EVODEX.1-P6716,EVODEX.1-P6723,EVODEX.1-P9175"
EVODEX.1-E1086,[H]O[C@]1([H])[C@@]([H])(O[H])[C@]([H])([O:7][C:8])OC([H])([H])[C@@]1([H])O[H]>>[H][O:7][C:8],"EVODEX.1-P6509,EVODEX.1-P6641,EVODEX.1-P6645,EVODEX.1-P6646,EVODEX.1-P6746"
EVODEX.1-E1087,[H]O[C@]1([H])[C@@]([H])(O[H])[C@]([H])(O[H])C([H])([H])O[C@]1([H])[O:23][P:20]>>[H][O:23][P:20],"EVODEX.1-P3333,EVODEX.1-P3558,EVODEX.1-P3617,EVODEX.1-P3619,EVODEX.1-P5214"
EVODEX.1-E1088,[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C(=O)[S:48][C:47].[H]O[C:58](=[O:57])[C:60]>>[C:47][S:48][C:58](=[O:57])[C:60],"EVODEX.1-P5433,EVODEX.1-P5448,EVODEX.1-P5460,EVODEX.1-P5465,EVODEX.1-P5470"
EVODEX.1-E1089,[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])N([H])[C:8]([C:2])=[O:9]>>[H]O[C:8]([C:2])=[O:9],"EVODEX.1-P7185,EVODEX.1-P8006,EVODEX.1-P8270"
EVODEX.1-E1090,[H][N:25]([C:26])[H:76]>>[H]N([H])C([H])([H])C([H])([H])C([H])([H])[N:25]([C:26])[H:76],"EVODEX.1-P3684,EVODEX.1-P3685,EVODEX.1-P3686,EVODEX.1-P3687,EVODEX.1-P3705"
EVODEX.1-E1092,[C:2][C:3](=[O:4])[C:5]=[O:6]>>[H]N([H])[C:3]([H])([C:2])[C:5]=[O:6].[H]OC(=O)C([H])(C([H])=[O:4])C([H])([H])[H],"EVODEX.1-P4271,EVODEX.1-P4273"
